config,accuracy,macro_f1
full,0.4933±0.0276,0.5317±0.0301
w/o_spectral,0.5155±0.0160,0.5464±0.0206
w/o_temporal,0.3867±0.0427,0.4124±0.0499
w/o_fusion,0.4945±0.0225,0.5240±0.0275
w/o_gating,0.5023±0.0321,0.5339±0.0345
full_r1,0.4967±0.0332,0.5342±0.0339
full_r2_gumbel,0.4977±0.0182,0.5326±0.0213
