config,n_paired,acc_diff_mean,acc_ci95_lo,acc_ci95_hi,cohens_d_acc,t_paired_p,wilcoxon_p,shapiro_p_acc_diff,f1_diff_mean,f1_ci95_lo,f1_ci95_hi,cohens_d_f1,f1_t_paired_p,f1_wilcoxon_p,t_holm_p,t_bh_p,wilcoxon_holm_p,wilcoxon_bh_p,f1_t_holm_p,f1_t_bh_p,f1_wilcoxon_holm_p,f1_wilcoxon_bh_p
w/o_spectral,10,0.022242224222422245,-0.0002336887834398331,0.04471813722828433,0.707919126484473,0.05195880736294564,0.064453125,0.9523173267102831,0.014768377724959559,-0.01150936738636518,0.041046122836284296,0.4020383389456506,0.2354737453472123,0.275390625,0.25979403681472824,0.15587642208883692,0.322265625,0.193359375,1.0,0.7064212360416369,1.0,0.826171875
w/o_temporal,10,-0.10653898723205653,-0.13366983932245702,-0.07940813514165602,-2.809104558143281,9.500035125829434e-06,0.001953125,0.05423733495932881,-0.11924726730324467,-0.15021298790812881,-0.08828154669836052,-2.754799646811992,1.1137502009925732e-05,0.001953125,5.7000210754976604e-05,5.7000210754976604e-05,0.01171875,0.01171875,6.682501205955439e-05,6.682501205955439e-05,0.01171875,0.01171875
w/o_fusion,10,0.0012067873454012167,-0.02652759082167075,0.02894116551247318,0.03112684396209187,0.923746905825318,0.921875,0.6117501602398623,-0.007616941736632249,-0.039136677103708245,0.023902793630443744,-0.1728704829007634,0.5978992299659394,0.6953125,1.0,0.9237469058253179,1.0,0.921875,1.0,0.9168522178254067,1.0,0.9234375
w/o_gating,10,0.00901256792345902,-0.025829576055705208,0.043854711902623245,0.1850403553980737,0.5728240208449616,0.625,0.9333214332221489,0.0021926011105810606,-0.03687133853695516,0.04125654075811728,0.040151924272973094,0.9017544684648277,0.76953125,1.0,0.8963967081049633,1.0,0.76875,1.0,0.9168522178254067,1.0,0.9234375
full_r1,10,0.003393672700603395,-0.024359825429675293,0.031147170830882084,0.08747319677126268,0.7883237188581927,0.375,0.07560621421671346,0.0025024742256786413,-0.02392331684895057,0.02892826530030785,0.0677429944988755,0.8351486540281319,0.4921875,1.0,0.9237469058253179,1.0,0.75,1.0,0.9168522178254067,1.0,0.9234375
full_r2_gumbel,10,0.0044571123779044595,-0.013971486185124903,0.022885710940933824,0.17301511611938555,0.5975978054033089,0.640625,0.3768194394289922,0.0009204169677684892,-0.01847198154617698,0.020312815481713962,0.03395282093695363,0.9168522178254067,1.0,1.0,0.8963967081049633,1.0,0.76875,1.0,0.9168522178254067,1.0,1.0
