config,accuracy_mean,H_alpha,alpha_tvar,S_tau,rho_last,perm_null_z
full,0.49327766109944327,0.43550820319786887,0.08427847027778626,0.29555269330739975,4.448780174327064,660.9462809550297
w/o_spectral,0.5155198853218655,,,0.30163266211748124,,
w/o_temporal,0.38673867386738675,,,0.26269779205322263,,
w/o_fusion,0.49448444844484446,,,0.26119593232870103,3.602617414234497,
w/o_gating,0.5022902290229023,0.5646946288287457,0.07257005833089351,,4.22103062744641,1143.5207938993808
full_r1,0.49667133380004663,0.42377208679297435,0.09359482824802398,0.25748480185866357,0.3899488863250503,918.329974905628
full_r2_gumbel,0.49773477347734774,0.15590587767805858,0.13058164417743684,0.25202958285808563,3.7016982240932443,2427.7964985602875
