config,accuracy_mean,H_alpha,alpha_tvar,S_tau,rho_last,perm_null_z
full,0.7794016110471805,0.5391925624318104,0.026624962128698824,0.06923916712403297,1.5535074801856505,208.93645401449203
w/o_spectral,0.7874568469505179,,,0.09963683634996415,,
w/o_temporal,0.6413118527042577,,,0.05212365798652172,,
w/o_fusion,0.7802071346375145,,,0.05008106678724289,1.2850660609701205,
w/o_dynamic_gating,0.7782508630609896,0.540625130340613,0.026308389008045198,0.17966142818331718,1.8094641917711975,196.86041107085404
w/o_gating,0.7819332566168009,0.5754761245086663,0.02321387203410268,,2.1376807572596985,247.74266822434225
