config,seed,epoch,h_alpha,rho,s_tau,train_loss,val_acc
full,44,3,0.37997148631814515,2.239236607179398,0.08279037475585938,0.39973696033494804,0.6305587229190421
full,44,4,0.41437185974643753,1.5860155340424944,0.0955967903137207,0.3698983931517802,0.7628278221208666
full,44,5,0.4297916306530384,2.599584738943606,0.09501981735229492,0.35798860742836586,0.7445838084378563
full,44,6,0.5079853691519217,2.672259367759584,0.09881925582885742,0.3872517795922086,0.7628278221208666
full,44,7,0.561872744753411,1.974756604774845,0.05538129806518555,0.3654306819814825,0.8004561003420753
full,44,8,0.5287123684146966,2.626530001310871,0.07100868225097656,0.372353008612584,0.7708095781071835
full,44,9,0.492125239524043,1.5926871413915866,0.06870269775390625,0.361680093707575,0.7970353477765109
full,44,10,0.3777076790479861,1.3892961610082883,0.07930660247802734,0.3989172250172793,0.798175598631699
full,44,11,0.40787703204235054,1.6414323074690058,0.0821685791015625,0.36154722097668246,0.8038768529076397
full,44,12,0.44737470262792356,1.6795435696595133,0.07557535171508789,0.3391801279608897,0.7947548460661346
full,44,13,0.44574046709239357,1.4572402779461577,0.0850377082824707,0.3431217176936674,0.6704675028506272
full,44,14,0.4735275984899974,1.2818401686997523,0.09574699401855469,0.33881487773087693,0.7993158494868872
full,44,15,0.475519176782906,1.8094936446151566,0.07494592666625977,0.3264628616251683,0.7753705815279361
full,44,16,0.4405718541274684,1.669946167545057,0.08350896835327148,0.35910934449187826,0.8004561003420753
full,44,17,0.46907223523002184,2.374145545574126,0.08621978759765625,0.33688586171260254,0.7844925883694412
full,44,18,0.49346701963959194,3.1500070496418693,0.07729578018188477,0.32408384515557126,0.6567844925883695
full,44,19,0.436483188849191,2.020892562905276,0.07344198226928711,0.368935948382762,0.7924743443557583
full,44,20,0.4575405468067208,2.454507113598271,0.08671712875366211,0.33873059162126656,0.790193842645382
full,44,21,0.4379307958273768,2.6354372801629915,0.07479524612426758,0.3557677662603088,0.7936145952109465
full,45,0,0.3866276605193912,3.158493542767651,0.09546136856079102,1.2572810807674901,0.6123147092360319
full,45,1,0.3604128014894147,2.8967520946245253,0.0932164192199707,0.5562229842671559,0.7525655644241733
full,45,2,0.3441212556594574,1.5418306413209857,0.1133871078491211,0.45771980782103644,0.7776510832383124
full,45,3,0.39805585882724737,1.6163113932344644,0.08754205703735352,0.4200131943985916,0.7924743443557583
full,45,4,0.41169030670911627,2.317542331714966,0.09388971328735352,0.38620399294008284,0.7628278221208666
full,45,5,0.3572822130482519,1.3318731659723384,0.08497810363769531,0.3743450086070691,0.7776510832383124
full,45,6,0.35351336561487184,2.172761611383108,0.08863115310668945,0.361213915556093,0.7719498289623717
full,45,7,0.447452363285999,2.295204636207168,0.07124805450439453,0.37106282142465163,0.7594070695553021
full,45,8,0.4246412132177852,2.8895103775282163,0.08069753646850586,0.3625359959571623,0.7924743443557583
full,45,9,0.42370098349289187,2.8505481721994306,0.0725712776184082,0.3373144584300202,0.774230330672748
full,45,10,0.37026548723095154,1.8483804696295612,0.06237983703613281,0.3819587408580222,0.7799315849486887
full,45,11,0.3658986526211617,1.6023408762857165,0.061901092529296875,0.34674373487759536,0.7867730900798175
full,45,12,0.3339870403891605,2.816120662637112,0.06836891174316406,0.3299746150995873,0.7958950969213227
full,45,13,0.3622187239285244,2.254433984361781,0.058422088623046875,0.33627186816815524,0.790193842645382
full,45,14,0.3480186623478589,2.2190461493482783,0.0844430923461914,0.33390878927725404,0.6499429874572406
full,45,15,0.41958195178708096,2.0033867688629203,0.06892061233520508,0.355915783890179,0.7594070695553021
full,45,16,0.36833334712286414,1.8066391155064125,0.06929683685302734,0.3521810922481722,0.6966932725199544
full,45,17,0.4306524839031861,2.5150822661392014,0.08912992477416992,0.33304345968281446,0.758266818700114
full,45,18,0.3437028886246531,3.2399302972713704,0.09216117858886719,0.333506764518074,0.6670467502850627
full,45,19,0.36100955829449743,2.414984830329768,0.07975196838378906,0.3289773366093104,0.6567844925883695
full,45,20,0.39894291042857455,1.5869403060841827,0.08018875122070312,0.3728705819550279,0.7924743443557583
full,45,21,0.38969171295271554,1.9612944750994754,0.09274435043334961,0.32816884750532643,0.7696693272519954
full,45,22,0.43630815094502795,2.952387093100256,0.07610845565795898,0.3543379039650928,0.7571265678449259
full,46,0,0.3992413700792674,2.968513561707523,0.10736227035522461,1.2473650973328991,0.5997719498289624
full,46,1,0.5071544167604041,2.9143174212754563,0.06805801391601562,0.5260055798023244,0.7696693272519954
full,46,2,0.38768502465182864,1.6163235507846436,0.05978965759277344,0.4622868632230064,0.636259977194983
full,46,3,0.40363983250940844,1.5464545986789733,0.09135580062866211,0.41719148415530977,0.7730900798175598
full,46,4,0.4251998133732724,1.4919061744301272,0.08215522766113281,0.41457999065836054,0.621436716077537
full,46,5,0.4219922540625602,1.9946772981706498,0.07497262954711914,0.41199664036472305,0.7616875712656784
full,46,6,0.4151428089432144,1.6717375964732935,0.10162591934204102,0.38938335200377366,0.7480045610034207
full,46,7,0.38448244717159497,1.4357612706884717,0.07070493698120117,0.3871388876266744,0.7468643101482326
full,46,8,0.45526550584292697,1.433155516162071,0.07945775985717773,0.3800179363774615,0.7480045610034207
full,46,9,0.37121289431028054,1.459562136023679,0.07683849334716797,0.371973692927552,0.7844925883694412
