config,seed,epoch,h_alpha,rho,s_tau,train_loss,val_acc
full,43,4,0.6534830376100758,4.106553426040386,0.21358442306518555,0.016892710248551136,0.99629618053385
full,43,5,0.6718249878775955,4.077103292607812,0.22849225997924805,0.014745065108987746,0.9967806463711946
full,43,6,0.6144187814746733,4.462174673950173,0.24578380584716797,0.01167168770782549,0.9956241795336626
full,43,7,0.6450217693905462,4.232855833693689,0.24379730224609375,0.011144207643938196,0.9976558104644621
full,43,8,0.6486595353538004,4.002414117609784,0.251924991607666,0.008823622307494082,0.9982652997437019
full,43,9,0.6029141018499198,3.8563981597183212,0.2562737464904785,0.0077094378642137045,0.9985309745577295
full,43,10,0.656051585362997,4.0051963391154475,0.25830936431884766,0.008154107410013883,0.9985153466274926
full,43,11,0.6377127702338348,3.890245856615937,0.258425235748291,0.006725606977153367,0.9979214852784897
full,43,12,0.5999803179790111,4.392100569238568,0.27687501907348633,0.006544185281022297,0.9966712508595361
full,43,13,0.597123926487088,4.005553393492544,0.28067684173583984,0.005664953550787588,0.9977339501156467
full,43,14,0.5867724109234805,4.209529931810686,0.28098583221435547,0.005379114937584728,0.9982027880227543
full,43,15,0.6137714668591625,4.073214644668545,0.28351497650146484,0.004681424336004467,0.9983590673251235
full,43,16,0.5246792264052426,4.557297447698133,0.2938065528869629,0.004720759511851354,0.9991717196974432
full,43,17,0.5206758951479468,4.732594663893022,0.3021211624145508,0.004309277068664944,0.9989373007438895
full,43,18,0.598186749908698,4.256549721752954,0.28810644149780273,0.004540899968196622,0.9988904169531787
full,43,19,0.5471615277841195,4.334194316662666,0.2958827018737793,0.004202143121966285,0.9986559979996249
full,43,20,0.522826878358981,4.55499870646602,0.2915072441101074,0.003676110581702367,0.997671438394699
full,43,21,0.5104823062783312,4.161149929030973,0.2933659553527832,0.0037665820297973834,0.9987653935112834
full,43,22,0.5554332484909548,3.8776262960610253,0.3032255172729492,0.0037287156041232302,0.99649934362693
full,43,23,0.5342470064549588,3.8480345049855402,0.3069477081298828,0.0035470362771160362,0.9987341376508095
