config,seed,epoch,h_alpha,rho,s_tau,train_loss,val_acc
full,43,7,0.41566954753613067,1.1957512849379637,0.0999140739440918,0.37087101338225303,0.774230330672748
full,43,8,0.34540781147250965,1.9228718190200182,0.11110687255859375,0.3619899018660712,0.7753705815279361
full,43,9,0.3441696869955456,1.4507357382737118,0.10144901275634766,0.4019673172648614,0.7730900798175598
full,43,10,0.3583700408190169,1.4342283333734631,0.09973430633544922,0.36410051354021944,0.7787913340935005
full,43,11,0.36139379287136997,2.16091773113843,0.1186990737915039,0.34691706197830374,0.7229190421892816
full,43,12,0.36012877348197253,1.8376240761907952,0.08985233306884766,0.4150618697134764,0.7856328392246295
full,43,13,0.3352766995151817,1.5890902773971987,0.10184240341186523,0.3597681748140077,0.7947548460661346
full,43,14,0.3899533096941894,1.886576181065972,0.11774063110351562,0.38160124517160887,0.7856328392246295
full,43,15,0.34924660672033336,2.453122374767434,0.12577342987060547,0.3623587752872017,0.7776510832383124
full,43,16,0.3447133381736344,1.7046657600505872,0.10167598724365234,0.34327554117646264,0.7856328392246295
full,43,17,0.37879784313644543,1.425751109320481,0.10727643966674805,0.3508393458346063,0.7719498289623717
full,43,18,0.34342874106733234,1.5158992647754896,0.12357473373413086,0.33800672326397646,0.7844925883694412
full,43,19,0.34555106426193816,1.654951961565171,0.11142253875732422,0.4061128285242061,0.7867730900798175
full,43,20,0.32857281883237094,1.7203066912814406,0.11554479598999023,0.34747368342579743,0.7856328392246295
full,43,21,0.3447286599959869,2.6113042376471065,0.10259628295898438,0.3243344293470482,0.7867730900798175
full,43,22,0.3269719674080715,1.899723193624593,0.13116836547851562,0.341862987514528,0.7913340935005702
full,43,23,0.33639232999221597,1.9465957466422728,0.10727643966674805,0.3491829633121746,0.7833523375142531
full,44,0,0.4145905832228762,2.5445991942710817,0.09816122055053711,1.220108410185614,0.7388825541619156
full,44,1,0.46940796710581745,1.8382810816440909,0.07176685333251953,0.5077562663126063,0.701254275940707
full,44,2,0.42867955081784315,1.3862546719607751,0.09740972518920898,0.4405473581209121,0.8015963511972634
full,44,3,0.37852274247262213,0.931757425274949,0.12384891510009766,0.42650173191511226,0.7708095781071835
full,44,4,0.39184877015955855,1.3065714823506571,0.12318849563598633,0.39534877129102264,0.7753705815279361
full,44,5,0.36488587853402243,1.511366675300368,0.14032411575317383,0.38065834664802,0.7810718358038768
full,44,6,0.3241149797296156,1.9764179923998797,0.11834144592285156,0.3592670384644871,0.7936145952109465
full,44,7,0.4112830251807662,1.1209819167632735,0.08099746704101562,0.4108890886937975,0.7844925883694412
full,44,8,0.40333991774325906,1.4393721282754917,0.0854029655456543,0.37145109125216763,0.7616875712656784
full,44,9,0.4198054086396117,1.647285173485559,0.0871577262878418,0.3728937898228295,0.7765108323831242
full,44,10,0.41203449063618397,1.1142707155344205,0.08619976043701172,0.35666730606916464,0.7958950969213227
full,44,11,0.5308839213089862,1.9643627343427432,0.1104130744934082,0.39305304097963784,0.7639680729760547
full,44,12,0.421738055532192,0.8539961302988762,0.09226226806640625,0.37636976125042926,0.7776510832383124
full,45,0,0.12216739428181866,2.545231897887268,0.08166933059692383,1.2879907194789117,0.6191562143671607
full,45,1,0.21599004272807024,2.3008781284236264,0.07325220108032227,0.5232620017033257,0.7719498289623717
full,45,2,0.16151001888949468,2.311875791772416,0.061785221099853516,0.4442689268672945,0.790193842645382
full,45,3,0.29416146502319485,2.5355611139325007,0.05286359786987305,0.42565400362842204,0.7799315849486887
full,45,4,0.12731591861948838,2.2748746087918112,0.08650445938110352,0.4028301500541241,0.7548460661345496
full,45,5,0.10911001346982094,2.0622757660532023,0.09171199798583984,0.4005283276870455,0.7776510832383124
full,45,6,0.14355665408770035,1.9198164415892516,0.08561515808105469,0.377560233206931,0.7890535917901939
full,45,7,0.17131783466070782,2.6491002636162833,0.07377004623413086,0.3941023963243582,0.7765108323831242
full,45,8,0.14739381603495452,1.802013518170276,0.07489538192749023,0.36767028296531634,0.7867730900798175
full,45,9,0.17694649200157964,2.9052953704551854,0.06650352478027344,0.3926948973254278,0.7833523375142531
full,45,10,0.2744604842736162,2.555312846262531,0.05739593505859375,0.3771895471633397,0.7936145952109465
full,45,11,0.3186780156991348,1.9011397761718174,0.06395912170410156,0.355142365485415,0.766248574686431
full,45,12,0.3634155478229001,1.7396124138142024,0.06428003311157227,0.36882512836569775,0.7765108323831242
full,45,13,0.3409570072832713,0.944002068905716,0.0771474838256836,0.3596874041668424,0.798175598631699
full,45,14,0.2840582085716775,1.5075066737524434,0.07512712478637695,0.34798482809553777,0.798175598631699
full,45,15,0.2947970730675994,1.0013073780874828,0.07062435150146484,0.33928965558849705,0.6704675028506272
full,45,16,0.3370953881744754,1.6422403786773634,0.06655502319335938,0.3451696241262471,0.7993158494868872
full,45,17,0.3483689649930353,2.7192164563588626,0.07376575469970703,0.3296779885289689,0.7822120866590649
full,45,18,0.35107232636555674,1.5786680838688756,0.07058143615722656,0.36899531293931903,0.7936145952109465
full,45,19,0.2718349093289729,1.605803511104677,0.05993223190307617,0.33814869981386547,0.7867730900798175
full,45,20,0.25349797043155103,1.5353033303593042,0.06845331192016602,0.36174665711336224,0.7970353477765109
full,45,21,0.26764288684194393,2.8332985044565433,0.06452751159667969,0.33450771217365105,0.7936145952109465
full,45,22,0.24563740038672177,2.104660944513509,0.07796955108642578,0.3747343729200727,0.7947548460661346
full,45,23,0.2866479181494288,1.9284929457514666,0.0788121223449707,0.332815065795263,0.7890535917901939
full,45,24,0.25151817585996894,1.9491362790443292,0.07044506072998047,0.32326439435256255,0.7958950969213227
full,45,25,0.21142218326052184,2.022731151750502,0.07610845565795898,0.3339002849917395,0.8050171037628279
full,45,26,0.23886326680925452,1.258146063490309,0.0789804458618164,0.3278219352781507,0.8015963511972634
full,45,27,0.2075041188512377,2.6979977619943663,0.08579063415527344,0.3163764128072698,0.798175598631699
full,45,28,0.23451809362410622,1.8385117347377626,0.07839727401733398,0.3096333342610342,0.7833523375142531
full,45,29,0.29901460066021057,2.551896981862471,0.08753108978271484,0.339562979631632,0.7890535917901939
full,45,30,0.31995007189366104,1.1296198128942043,0.08802175521850586,0.3417155446542864,0.798175598631699
full,45,31,0.25041395170412545,0.9625979953124169,0.1028895378112793,0.356763060871894,0.7879133409350056
full,45,32,0.23906855143300257,0.613330558832897,0.0870351791381836,0.34404899821472185,0.8015963511972634
full,45,33,0.26907267660046086,1.5259882067545754,0.08118820190429688,0.3237358978259191,0.7833523375142531
full,45,34,0.2686111380941639,1.1495780929405084,0.10812807083129883,0.32133184781923235,0.8004561003420753
full,45,35,0.18696682780880494,1.652193616113481,0.08527231216430664,0.3186283572570014,0.798175598631699
full,46,0,0.3932651244979413,3.254267872642801,0.10411310195922852,1.2520272087566204,0.7753705815279361
full,46,1,0.44090207238911233,3.021117875234718,0.0973663330078125,0.495284942452956,0.6567844925883695
full,46,2,0.4238542650210945,2.5417415353487915,0.08719205856323242,0.4417082848499243,0.8027366020524516
full,46,3,0.38948084480606004,1.9098311407351445,0.0888223648071289,0.4034101737272521,0.7913340935005702
full,46,4,0.41341160565205326,1.7374446852814818,0.1062612533569336,0.4036654826137295,0.7890535917901939
full,46,5,0.3919871790763333,2.1881664038123363,0.11772775650024414,0.3722298872252177,0.7890535917901939
