config,observed_var,null_mean,null_std,threshold_null_plus_2sd,z_mean
full,0.026248915307223796,0.005670056043891236,8.813208381594124e-05,0.005846320211523119,231.06557780895756
w/o_dynamic_gating,0.024805052671581507,0.006077817204641178,7.993090736925574e-05,0.00623767901937969,235.28793770084067
w/o_gating,0.019888534862548112,0.0042531693232012915,6.0356661092096264e-05,0.004373882645385484,260.56564912882783
full_r1,0.021893804660066962,0.010115304946666582,0.0001316687157571173,0.010378642378180817,89.70047214941023
full_r3_stft,0.04210089985281229,0.01816039226367138,8.060137179242936e-05,0.01832159500725624,519.8076683083028
full_r3_sinc,0.009978559007868171,0.00689465218107216,0.00010267652643871396,0.007100005233949588,49.05650691365136
full_r1_r3,0.03331064004451036,0.013627297945786269,0.00010934769521545489,0.013845993336217177,212.45620979780387
full_r2,0.009023675974458457,0.0036680495913606137,2.639288803923831e-05,0.0037208353674390905,251.36696851503152
full_r2_gumbel,0.016259281896054745,0.006060092340921983,3.95813193940401e-05,0.006139254979710063,275.97440557615266
full_r4_sparsemax,0.04271651580929756,0.01360011317767203,0.0001925778645746292,0.013985268906821289,157.42427027912927
full_r4_entmax,0.03603859422728419,0.01284632365743164,0.00018000264179758894,0.013206328941026819,135.44676870616533
full_r4_lstm,0.02903651408851147,0.0069536530552431934,8.425151413250624e-05,0.007122156083508207,261.1864182909427
full_r1_r2_r3,0.017280011158436536,0.00978348532808013,3.7974146925499795e-05,0.009859433621931132,222.11789121929775
full_all,0.013717877864837646,0.008220846077892929,4.5501554369762745e-05,0.008311849186632456,130.77541221437014
full_fixed_global,0.0,0.0,0.0,0.0,
full_fixed_class,0.0,0.0,0.0,0.0,
