seed,O,A,B,C,D
42,0.0125963594764471,0.0297652538865804,0.093202605843544,0.1250485479831695,0.0901107862591743
43,0.0410939529538154,0.0312248244881629,0.0828667730093002,0.0920886993408203,0.0748420655727386
44,0.0183970015496015,0.0330007970333099,0.0754541233181953,0.1133564934134483,0.0679807662963867
45,0.0332766398787498,0.0235665999352931,0.096605934202671,0.0983748957514762,0.0680096521973609
46,0.0256160255521535,0.0361285135149955,0.0895933657884597,0.0967743769288063,0.0771076455712318
47,0.033460434526205,0.0327388383448123,0.1232816874980926,0.1022711768746376,0.0866936892271041
48,0.0161578468978405,0.0285336449742317,0.1289419531822204,0.1014031246304512,0.0743598490953445
49,0.0298984125256538,0.0346904583275318,0.0949920564889907,0.0994687974452972,0.0709372386336326
50,0.0315862745046615,0.0115697067230939,0.0779863893985748,0.0837622731924057,0.0959656536579132
51,0.0241666734218597,0.0080673936754465,0.0847827792167663,0.0647015869617462,0.085220992565155
Mean ± SD,0.02662 ± 0.008924,0.02693 ± 0.009704,0.09477 ± 0.01798,0.09772 ± 0.01615,0.07912 ± 0.009768
