a,b,eps,mean_diff,tost_p,equivalent_at_eps
full_fixed_global,full,0.005,0.0027617951668584386,0.2913538662934305,False
w/o_fusion,full,0.005,0.0017261219792865435,0.17266383756329673,False
full_r1,full,0.005,0.0018411967779056516,0.08169735665029165,False
