config,accuracy,macro_f1,n_paired,acc_diff_mean,acc_ci95_lo,acc_ci95_hi,cohens_d_acc,t_paired_p,wilcoxon_p,shapiro_p_acc_diff,f1_diff_mean,f1_ci95_lo,f1_ci95_hi,cohens_d_f1,f1_t_paired_p,f1_wilcoxon_p,t_holm_p,t_bh_p,wilcoxon_holm_p,wilcoxon_bh_p,f1_t_holm_p,f1_t_bh_p,f1_wilcoxon_holm_p,f1_wilcoxon_bh_p
full,0.7745±0.0059,0.6329±0.0424,,,,,,,,,,,,,,,,,,,,,,
w/o_spectral,0.7873±0.0101,0.6796±0.0242,10.0,0.0128883774453394,0.0030420964186896,0.0227346584719893,0.9363728079214644,0.0159317826010166,0.02734375,0.2626215253145812,0.0467374132768701,0.0115361496377057,0.0819386769160344,0.9497934988459378,0.0148714688578608,0.048828125,0.2071131738132157,0.043243409917045,0.35546875,0.07421875,0.2379435017257741,0.0706394770748392,0.732421875,0.115966796875
w/o_temporal,0.6419±0.0181,0.5094±0.0298,10.0,-0.1325661680092059,-0.1470069352582353,-0.1181254007601766,-6.566972664985667,6.5145173566800045e-09,0.001953125,0.8546292438926544,-0.1235564948441243,-0.1649147840020665,-0.082198205686182,-2.1371046449459725,8.288341887759297e-05,0.001953125,1.2377582977692006e-07,1.2377582977692006e-07,0.037109375,0.0123697916666666,0.0015747849586742,0.0015747849586742,0.037109375,0.037109375
w/o_fusion,0.7762±0.0083,0.6491±0.0556,10.0,0.0017261219792865,-0.0057105331714288,0.0091627771300018,0.1660414868561053,0.6122228045232597,0.607421875,0.4105751667337026,0.0161667861331834,-0.0342495430535799,0.0665831153199468,0.2293904037552513,0.4866413444605411,0.375,1.0,0.6462351825523297,1.0,0.6788832720588235,1.0,0.579353883829037,1.0,0.5089285714285714
w/o_dynamic_gating,0.7793±0.0128,0.6150±0.0699,10.0,0.0048331415420023,-0.0076801524268987,0.0173464355109033,0.2762998446518657,0.4049718102585242,0.53515625,0.0134690911129237,-0.0179227159683908,-0.0597945443405289,0.0239491124037472,-0.3061996368562492,0.3581995306946636,0.375,1.0,0.4809040246819975,1.0,0.635498046875,1.0,0.5235223910152775,1.0,0.5089285714285714
w/o_gating,0.7816±0.0056,0.6355±0.0613,10.0,0.0071346375143843,0.0023692588991644,0.0119000161296042,1.0710192473138451,0.0080390246736498,0.01171875,0.982166408666645,0.0025550506207909,-0.0569163347997107,0.0620264360412926,0.0307336560903878,0.9247067348400604,1.0,0.1205853701047482,0.0305482937598695,0.17578125,0.04453125,1.0,0.9247067348400604,1.0,1.0
