contrast,metric,a,b,a_mean,b_mean,n,mean_diff,ci95_lo,ci95_hi,cohens_dz,t_p,wilcoxon_p,shapiro_p,holm_p_t,holm_p_w
A1,accuracy,r1_w/o_spectral,full_r1,0.7874568469505179,0.7762945914844649,10,0.011162255466052928,0.00455329466934064,0.01777121626276522,1.2082075805350965,0.004085605986773837,0.015625,0.1916034124404915,0.01634242394709535,0.0625
A1,macro_f1,r1_w/o_spectral,full_r1,0.6873443107962034,0.6250486190557917,10,0.06229569174041184,0.010797181074007553,0.11379420240681613,0.865338681122211,0.022981013373193245,0.01953125,0.12088726917190323,0.04596202674638649,0.0390625
A2,accuracy,r1_w/o_spectral,w/o_spectral,0.7874568469505179,0.7873417721518987,10,0.00011507479861908588,-0.009605373678114463,0.009835523275352634,0.008468698959149585,0.9792193172012267,0.98046875,0.31159661815199,1.0,1.0
B1,accuracy,full_fixed_global,full,0.7772151898734176,0.7744533947065593,10,0.0027617951668584386,-0.006122955590614561,0.011646545924331439,0.22236631048717495,0.4997256192989358,0.6953125,0.8335063402109988,1.0,1.0
B1,macro_f1,full_fixed_global,full,0.675480019847722,0.6329071110386312,10,0.0425729088090908,0.014099174230807018,0.07104664338737458,1.0695760417680542,0.008097423730794069,0.00390625,0.16455725983119573,0.024292271192382205,0.01171875
B2,accuracy,full_fixed_class,full,0.8710011507479862,0.7744533947065593,10,0.09654775604142696,0.07021564841742889,0.12287986366542503,2.6228855292604094,1.6566608896338447e-05,0.001953125,0.0017140243230195542,9.939965337803068e-05,0.01171875
B2,macro_f1,full_fixed_class,full,0.7006623825963392,0.6329071110386312,10,0.06775527155770798,0.001289154993183772,0.1342213881222322,0.7292317338695221,0.04653765259455114,0.037109375,0.3539007366373603,0.04653765259455114,0.0390625
B3,accuracy,full_fixed_class,full_fixed_global,0.8710011507479862,0.7772151898734176,10,0.09378596087456852,0.06563034745084206,0.12194157429829497,2.3828440100629598,3.559025995433697e-05,0.001953125,0.0006672234800507138,0.00017795129977168486,0.01171875
B4,accuracy,full_fixed_global,w/o_fusion,0.7772151898734176,0.7761795166858458,10,0.001035673187571895,-0.007723185589937738,0.009794531965081527,0.08458590164495866,0.7951252478188813,0.9765625,0.890420815439765,1.0,1.0
