seed,O,A,B,C,D
42,1.086714801380789,2.6973455894407,0.933110933529584,0.8899085612087532,3.852929752309048
43,1.9465957466422728,1.808095159240396,1.8630012496756347,0.2527927948680891,4.013809226506705
44,0.8539961302988762,2.6354372801629915,0.644585872464356,0.8680670741533931,3.248221116719111
45,1.652193616113481,2.952387093100256,2.163785530577517,0.5308942137034532,3.2537907439703626
46,1.7189311170584562,1.190087347124832,0.4186555056255459,2.947402891736377,5.149368051882282
47,1.422926336363203,2.2561909011792207,0.9425293257692744,0.6284489531093946,4.302443746488111
48,1.4043683208044406,1.9942071148479883,0.4470474569277947,0.6758235945666116,4.9790172385209255
49,1.783548512748586,1.884617903830093,1.3078027055453871,1.949870865331636,4.392027528505798
50,1.6527261985747224,2.655701910269336,0.6397489121071114,0.6811615673563318,4.019044577320062
51,2.01307402187168,4.320802401997495,0.6883550242442313,7.037947155509644,4.402823722613268
Mean ± SD,1.554 ± 0.367,2.439 ± 0.8468,1.005 ± 0.5961,1.646 ± 2.058,4.161 ± 0.6299
