config,accuracy,macro_f1
full,0.9986±0.0004,0.9987±0.0004
w/o_spectral,0.9979±0.0006,0.9979±0.0006
w/o_temporal,0.9715±0.0014,0.9761±0.0012
w/o_fusion,0.9987±0.0004,0.9987±0.0005
w/o_gating,0.9982±0.0004,0.9984±0.0004
