config,accuracy,macro_f1,n_paired,acc_diff_mean,acc_ci95_lo,acc_ci95_hi,cohens_d_acc,t_paired_p,wilcoxon_p,shapiro_p_acc_diff,f1_diff_mean,f1_ci95_lo,f1_ci95_hi,cohens_d_f1,f1_t_paired_p,f1_wilcoxon_p,t_holm_p,t_bh_p,wilcoxon_holm_p,wilcoxon_bh_p,f1_t_holm_p,f1_t_bh_p,f1_wilcoxon_holm_p,f1_wilcoxon_bh_p
full_r1,0.7763±0.0034,0.6250±0.0663,10.0,0.0018411967779056,-0.0028669570700934,0.0065493506259047,0.2797514424720964,0.3993613590454301,0.30859375,0.0723980559587599,-0.0078584919828395,-0.0731087604127557,0.0573917764470766,-0.0861548411347357,0.7914270254845096,0.921875,1.0,0.4809040246819975,1.0,0.408203125,1.0,0.8554885424405728,1.0,1.0
full_r3_stft,0.7832±0.0106,0.6477±0.0610,10.0,0.0087456846950517,0.0003848563156605,0.017106513074443,0.7482854162660567,0.0421647958083124,0.064453125,0.6401383081177664,0.0148163584524757,-0.0315236648272807,0.0611563817322321,0.2287220331459643,0.4878769548033995,0.556640625,0.4638127538914371,0.0890145689286596,0.64453125,0.1224609375,1.0,0.579353883829037,1.0,0.6610107421875
full_r3_sinc,0.7870±0.0144,0.6546±0.0585,10.0,0.0125431530494821,0.0033727401890308,0.0217135659099334,0.9784544374782064,0.0128432532508586,0.033203125,0.0804422443337681,0.0216482854668399,-0.0175618633604179,0.0608584342940978,0.3949551576490143,0.2431877446175284,0.275390625,0.179805545512021,0.0406703019610523,0.3984375,0.0783420138888889,1.0,0.4200515588848219,1.0,0.4756747159090909
full_r1_r3,0.7834±0.0085,0.6660±0.0456,10.0,0.0089758342922899,0.0015437366917188,0.0164079318928611,0.8639452000069506,0.0231473350928401,0.01953125,0.2292939575473724,0.0330822842691367,-0.0211868429354534,0.0873514114737269,0.4360792542061499,0.2011948624026558,0.10546875,0.2777680211140817,0.0549749208454953,0.2734375,0.0618489583333333,1.0,0.3822702385650461,1.0,0.22265625
full_r2,0.7743±0.0095,0.6525±0.0350,10.0,-0.000115074798619,-0.0065905307268253,0.0063603811295871,-0.0127125491718374,0.9688108536618942,0.94140625,0.1879539508987661,0.0195967408051993,-0.0179833852480827,0.0571768668584813,0.3730339767883379,0.2683856350583309,0.322265625,1.0,0.968810853661894,1.0,0.94140625,1.0,0.4249439221756907,1.0,0.5089285714285714
full_r2_gumbel,0.7826±0.0063,0.6495±0.0482,10.0,0.0081703107019562,0.00541400536445,0.0109266160394625,2.1204792172999345,8.797987451320201e-05,0.001953125,0.7783571736135133,0.0165834515004796,-0.028964162138168,0.0621310651391272,0.2604546233773448,0.4314334223512539,0.431640625,0.0014956578667244,0.0005572058719169,0.037109375,0.0123697916666666,1.0,0.579353883829037,1.0,0.5467447916666667
full_r4_sparsemax,0.7809±0.0068,0.5977±0.0465,10.0,0.0064441887226697,-5.051856414950949e-06,0.0128934293017544,0.7147965484810985,0.0501450202064943,0.037109375,0.5589897198781444,-0.0351952563289853,-0.0697490752830911,-0.0006414373748795,-0.728636383330296,0.046681256030169,0.130859375,0.5014502020649435,0.0952755383923392,0.408203125,0.0783420138888889,0.5584518311346137,0.0985493182859123,1.0,0.2486328125
full_r4_entmax,0.7788±0.0070,0.5701±0.0453,10.0,0.0043728423475258,-0.0016489389998471,0.0103946236948989,0.5194713643107475,0.1348573482404523,0.09765625,0.5312231812376929,-0.0628044220239918,-0.099114617853987,-0.0264942261939965,-1.2373267616572543,0.0035497649160953,0.005859375,1.0,0.2135241347140495,0.87890625,0.1686789772727272,0.0638957684897162,0.0337227667029058,0.099609375,0.037109375
full_r4_lstm,0.7797±0.0079,0.6278±0.0531,10.0,0.0052934407364787,-0.0016721749399741,0.0122590564129316,0.5436273781341265,0.1197141580523905,0.18359375,0.5641726791063886,-0.0051524831277676,-0.0523448445177878,0.0420398782622525,-0.0781029870062075,0.8104628296805426,1.0,1.0,0.206779000272311,1.0,0.2906901041666667,1.0,0.8554885424405728,1.0,1.0
full_r1_r2_r3,0.7800±0.0133,0.6796±0.0337,10.0,0.0055235903337169,-0.0042227726806932,0.015269953348127,0.4054167164954481,0.2318665872768607,0.244140625,0.9846832717101908,0.0466477660351102,0.0044945542254222,0.0888009778447982,0.7916312933116783,0.0336757715687233,0.048828125,1.0,0.3388819352507965,1.0,0.3568209134615384,0.437785030393404,0.0914056656865349,0.732421875,0.115966796875
full_all,0.7787±0.0115,0.6655±0.0273,10.0,0.0042577675489067,-0.0048434149981329,0.0133589500959465,0.3346623809006238,0.3174971007475424,0.322265625,0.1494361535116118,0.032564775129896,0.0039520895325595,0.0611774607272324,0.8141646369363185,0.0299601306591154,0.048828125,1.0,0.4308889224430933,1.0,0.408203125,0.4287835138526407,0.0914056656865349,0.732421875,0.115966796875
r1_w/o_spectral,0.7875±0.0080,0.6873±0.0311,10.0,0.0130034522439585,0.0054982643330281,0.020508640154889,1.239423912472314,0.0035141589450429,0.005859375,0.7583260981191491,0.0544371997575722,0.0071326313236382,0.1017417681915063,0.8232191536348734,0.028585567590176,0.048828125,0.0562265431206869,0.0166922549889539,0.09375,0.02783203125,0.4287835138526407,0.0914056656865349,0.732421875,0.115966796875
full_fixed_global,0.7772±0.0084,0.6755±0.0344,10.0,0.0027617951668584,-0.0061229555906145,0.0116465459243314,0.2223663104871749,0.4997256192989358,0.6953125,0.8335063402109988,0.0425729088090908,0.014099174230807,0.0710466433873745,1.0695760417680542,0.008097423730794,0.00390625,1.0,0.5585168686282224,1.0,0.7339409722222222,0.1376562034234991,0.0512836836283624,0.0703125,0.037109375
full_fixed_class,0.8710±0.0376,0.7007±0.0609,10.0,0.0965477560414269,0.0702156484174288,0.122879863665425,2.6228855292604094,1.6566608896338447e-05,0.001953125,0.0017140243230195,0.0677552715577079,0.0012891549931837,0.1342213881222322,0.7292317338695221,0.0465376525945511,0.037109375,0.000298198960134,0.0001573827845152,0.037109375,0.0123697916666666,0.5584518311346137,0.0985493182859123,0.59375,0.115966796875
