seed,O,A,B,C,D
42,0.5051122770470712,0.4914862771423816,0.3124289138031222,0.2964393071965022,0.299123330364582
43,0.5354764465148346,0.4142157201097398,0.4192857233371794,0.3642641516731492,0.5177618445230487
44,0.5764867246872117,0.6390790137284943,0.2994679220366061,0.3208750443972835,0.5655140062679201
45,0.3633925917563906,0.4068366009215878,0.3138389359325855,0.3583843377657579,0.63281473747396
46,0.5559491538553825,0.5703723973563185,0.3699172432319653,0.3067566964941418,0.4369747896368182
47,0.5344967767934252,0.5388231691446734,0.3155012518462213,0.3793393112828373,0.5076193640523864
48,0.6104405623855347,0.5634804652066209,0.2634331113926556,0.3667831731047897,0.547961505617286
49,0.5078818623501463,0.5313876431589647,0.3134347068594184,0.4155500404449932,0.4980793944302144
50,0.6008974468656336,0.3076519899203981,0.4265417889230701,0.3802907910282522,0.4207072772009632
51,0.6017917820624734,0.2318418611795966,0.3544302291092662,0.2690910969735625,0.4615815465281817
Mean ± SD,0.5392 ± 0.07269,0.4695 ± 0.1276,0.3388 ± 0.05283,0.3458 ± 0.04544,0.4888 ± 0.09156
