degradation,full,w/o_spectral,w/o_temporal,w/o_fusion,w/o_gating,tsnet_vanilla,delta_vs_clean_pp
clean,0.9922±0.0033,0.9989±0.0008,0.9099±0.0041,0.9942±0.0020,0.9950±0.0024,0.9986±0.0015,0.0
gaussian_noise_snr20,0.9910±0.0041,0.9992±0.0008,0.9011±0.0060,0.9934±0.0028,0.9945±0.0028,0.9983±0.0021,-0.12
gaussian_noise_snr10,0.9202±0.0537,0.9333±0.0336,0.7314±0.0328,0.9194±0.0273,0.9362±0.0220,0.9457±0.0106,-7.2
drift,0.8665±0.0730,0.7814±0.1401,0.7830±0.0315,0.8807±0.0515,0.8623±0.1092,0.8100±0.1150,-12.57
bias,0.9573±0.0106,0.8974±0.0121,0.9099±0.0041,0.9556±0.0101,0.9581±0.0126,0.9063±0.0129,-3.49
stuck,0.9517±0.0077,0.9602±0.0068,0.8198±0.0080,0.9571±0.0064,0.9553±0.0061,0.9576±0.0067,-4.06
dropout,0.9882±0.0078,0.9957±0.0069,0.8959±0.0141,0.9922±0.0040,0.9845±0.0173,0.9980±0.0018,-0.41
downsample,0.9354±0.0047,0.8870±0.0011,0.8469±0.0198,0.9344±0.0041,0.9377±0.0033,0.8902±0.0089,-5.68
