a,b,eps,mean_diff,tost_p,equivalent_at_eps
full_fixed_global,full,0.01,0.0027617951668584386,0.049226115386660774,True
w/o_fusion,full,0.01,0.0017261219792865435,0.016469710921335534,True
full_r1,full,0.01,0.0018411967779056516,0.0017551834870246363,True
