cell,rho@3,rho@3_p,s_tau@3,s_tau@3_p,h@3,h@3_p,val@3,val@3_p
O,-0.43,0.21449233253280775,0.36,0.3103760917056799,0.52,0.12755286970323426,-0.41,0.2363347580283991
A,-0.71,0.021665923367532435,0.54,0.1075931877824148,0.13,0.7260570147627894,-0.13,0.7126222235089889
B,-0.28,0.42503815489214547,-0.08,0.8287173946974606,0.02,0.9602404181286243,0.39,0.2664779212005221
C,-0.15,0.6760651759978538,-0.5,0.13833369839449197,0.66,0.03758837757140939,0.44,0.20042268671194224
D,0.03,0.9337729580941466,-0.43,0.21449233253280775,-0.12,0.7514196523258484,0.25,0.48877630451924314
