config,accuracy,macro_f1
full,0.9922±0.0033,0.9922±0.0034
w/o_spectral,0.9989±0.0008,0.9989±0.0008
w/o_temporal,0.9099±0.0041,0.9089±0.0058
w/o_fusion,0.9942±0.0020,0.9942±0.0020
w/o_gating,0.9950±0.0024,0.9950±0.0024
tsnet_vanilla,0.9986±0.0015,0.9986±0.0014
