config,n_paired,acc_diff_mean,acc_ci95_lo,acc_ci95_hi,cohens_d_acc,t_paired_p,wilcoxon_p,shapiro_p_acc_diff,f1_diff_mean,f1_ci95_lo,f1_ci95_hi,cohens_d_f1,f1_t_paired_p,f1_wilcoxon_p,t_holm_p,t_bh_p,wilcoxon_holm_p,wilcoxon_bh_p,f1_t_holm_p,f1_t_bh_p,f1_wilcoxon_holm_p,f1_wilcoxon_bh_p
w/o_spectral,10,0.006613756613756627,0.004526832870553693,0.008700680356959561,2.2670672483694565,5.2562327405990566e-05,0.001953125,0.3913247347047465,0.006658836647905874,0.004545107280970508,0.008772566014841242,2.2535736392385917,5.50584354247273e-05,0.001953125,0.00021024930962396226,0.0001314058185149764,0.009765625,0.0048828125,0.0002202337416989092,0.00013764608856181826,0.009765625,0.0048828125
w/o_temporal,10,-0.08236331569664901,-0.08587182861814277,-0.07885480277515525,-16.79320213452566,1.496263696702402e-12,0.001953125,0.06954449886997909,-0.08325201432056836,-0.08792624293335795,-0.07857778570777878,-12.741119083742202,1.7790149135601252e-11,0.001953125,7.481318483512009e-12,7.481318483512009e-12,0.009765625,0.0048828125,8.895074567800626e-11,8.895074567800626e-11,0.009765625,0.0048828125
w/o_fusion,10,0.0019400352733686121,-0.0007659076458179652,0.004645978192555189,0.5128776445321727,0.13928273032865662,0.189453125,0.7474188100084612,0.0019741983487615244,-0.0007466011291271052,0.004694997826650154,0.5190593551709903,0.13513009879925525,0.130859375,0.16072916791519373,0.13928273032865662,0.189453125,0.189453125,0.15838932234325537,0.13513009879925525,0.130859375,0.130859375
w/o_gating,10,0.002733686067019403,-0.0004056911275871619,0.005873063261625968,0.6229137454899526,0.08036458395759687,0.05859375,0.6208128217498277,0.0027681359604490143,-0.000396163881614548,0.005932435802512577,0.6257956814489403,0.07919466117162768,0.037109375,0.16072916791519373,0.10045572994699609,0.1171875,0.0732421875,0.15838932234325537,0.0989933264645346,0.07421875,0.04638671875
tsnet_vanilla,10,0.006349206349206371,0.003864751125733077,0.008833661572679664,1.828146696476936,0.00026569638979042205,0.00390625,0.7537178247410272,0.006394840392242395,0.003887001779164,0.00890267900532079,1.8241178731813987,0.0002699833935079455,0.00390625,0.0007970891693712661,0.0004428273163173701,0.01171875,0.006510416666666667,0.0008099501805238364,0.0004499723225132425,0.01171875,0.006510416666666667
