config,accuracy_mean,H_alpha,alpha_tvar,S_tau,rho_last,perm_null_z
full,0.9985622079484896,0.4888137796095361,0.07912283390760422,0.3103166401386261,4.161347570483567,896.6452008053132
w/o_spectral,0.9979089502555206,,,0.31854534447193145,,
w/o_temporal,0.9714785815868849,,,0.25734386295080186,,
w/o_fusion,0.9986747308046946,,,0.30096287131309507,3.3559830442622216,
w/o_gating,0.99819807148327,0.6511709918990486,0.061363819614052774,,4.275443774901886,1865.6965509716943
