config,accuracy_mean,H_alpha,alpha_tvar,S_tau,rho_last,perm_null_z
full,0.9922398589065254,0.345777395036127,0.09772499725222587,0.12862884849309922,1.6462317671543683,199.8613608900962
w/o_spectral,0.9988536155202821,,,0.1384844109416008,,
w/o_temporal,0.9098765432098765,,,0.053254982084035875,,
w/o_fusion,0.9941798941798942,,,0.07824164517223835,0.6317096034017042,
w/o_gating,0.994973544973545,0.36121528550762655,0.08426251113414765,,1.477646676334955,163.06912632387238
tsnet_vanilla,0.998589065255732,,,,,
