config,accuracy,macro_f1
full,0.7734±0.0092,0.6462±0.0376
w/o_spectral,0.7865±0.0051,0.6764±0.0283
w/o_temporal,0.6413±0.0096,0.5214±0.0143
w/o_fusion,0.7697±0.0192,0.6425±0.0495
w/o_gating,0.7730±0.0074,0.6718±0.0282
tsnet_vanilla,0.7845±0.0084,0.6745±0.0272
