config,accuracy_mean,H_alpha,alpha_tvar,S_tau,rho_last,perm_null_z
full,0.9916225749559084,0.33882798264720904,0.09477076679468155,0.1306460864841938,1.0048622516466437,166.02239382480977
w/o_spectral,0.998589065255732,,,0.14904786348342897,,
w/o_temporal,0.9098765432098765,,,0.053254982084035875,,
w/o_fusion,0.9924162257495592,,,0.08372270911931992,0.5559389872404157,
w/o_gating,0.9948853615520281,0.3739396089660828,0.08250089883804321,,2.1910068874557114,177.35895564563972
