config,accuracy,macro_f1
full,0.7794±0.0090,0.6164±0.0553
w/o_spectral,0.7875±0.0068,0.6648±0.0396
w/o_temporal,0.6413±0.0096,0.5214±0.0143
w/o_fusion,0.7802±0.0100,0.6317±0.0818
w/o_dynamic_gating,0.7783±0.0082,0.6180±0.0713
w/o_gating,0.7819±0.0104,0.6611±0.0478
