config,accuracy,macro_f1
full,0.7727±0.0075,0.6315±0.0549
w/o_spectral,0.7849±0.0078,0.6765±0.0243
w/o_gating,0.7757±0.0073,0.6553±0.0431
full_r2_gumbel,0.7778±0.0080,0.6456±0.0503
