config,accuracy_mean,H_alpha,alpha_tvar,S_tau,rho_last,perm_null_z
full,0.7726697353279631,0.4791543258401946,0.026171960402280092,0.07009261827915907,2.0311663510843543,237.20628913204177
w/o_spectral,0.7849252013808975,,,0.09128529727458953,,
w/o_gating,0.7757192174913694,0.5554799123067053,0.021608651988208293,,1.9055119983174478,223.99525822120148
full_r2_gumbel,0.7777905638665132,0.43018333998418645,0.013536629918962716,0.06938868500292301,1.8930911005884508,308.65073030172755
