degradation,full,w/o_spectral,w/o_gating,full_r2_gumbel,delta_vs_clean_pp
clean,0.7727±0.0075,0.7849±0.0078,0.7757±0.0073,0.7778±0.0080,0.0
gaussian_noise_snr20,0.6586±0.0771,0.7848±0.0083,0.6502±0.0523,0.6825±0.0579,-8.38
gaussian_noise_snr10,0.5709±0.1172,0.7794±0.0095,0.5449±0.0920,0.6728±0.0634,-13.58
drift,0.6116±0.0788,0.6857±0.0904,0.6100±0.0418,0.6388±0.0467,-14.13
bias,0.7362±0.0152,0.7197±0.0203,0.7444±0.0263,0.7491±0.0126,-4.04
stuck,0.7694±0.0100,0.7804±0.0082,0.7724±0.0080,0.7754±0.0070,-0.34
dropout,0.6200±0.0810,0.7494±0.0398,0.6211±0.0277,0.6591±0.0509,-11.54
downsample,0.7701±0.0101,0.7849±0.0076,0.7747±0.0092,0.7732±0.0082,-0.2
