config,accuracy,macro_f1
full,0.9916±0.0036,0.9916±0.0036
w/o_spectral,0.9986±0.0016,0.9986±0.0016
w/o_temporal,0.9099±0.0041,0.9089±0.0058
w/o_fusion,0.9924±0.0020,0.9924±0.0020
w/o_gating,0.9949±0.0028,0.9949±0.0028
