config,n_paired,acc_diff_mean,acc_ci95_lo,acc_ci95_hi,cohens_d_acc,t_paired_p,wilcoxon_p,shapiro_p_acc_diff,f1_diff_mean,f1_ci95_lo,f1_ci95_hi,cohens_d_f1,f1_t_paired_p,f1_wilcoxon_p,t_holm_p,t_bh_p,wilcoxon_holm_p,wilcoxon_bh_p,f1_t_holm_p,f1_t_bh_p,f1_wilcoxon_holm_p,f1_wilcoxon_bh_p
w/o_spectral,10,0.006966490299823635,0.004524215998239705,0.009408764601407566,2.0405271197933956,0.00011776750868621537,0.001953125,0.08269467143840313,0.007028001185310284,0.004556742125541026,0.009499260245079542,2.0343998996006314,0.00012046767915284918,0.001953125,0.0003533025260586461,0.00023553501737243074,0.0078125,0.00390625,0.00036140303745854754,0.00024093535830569835,0.0078125,0.00390625
w/o_temporal,10,-0.08174603174603173,-0.08459912100716377,-0.0788929424848997,-20.496235130764337,2.5003553459032753e-13,0.001953125,0.12394046607036924,-0.08261747576494388,-0.08611805425481292,-0.07911689727507484,-16.883204308476373,1.4261854334318163e-12,0.001953125,1.0001421383613101e-12,1.0001421383613101e-12,0.0078125,0.00390625,5.704741733727265e-12,5.704741733727265e-12,0.0078125,0.00390625
w/o_fusion,10,0.0007936507936507798,-0.0015374680032361114,0.003124769590537671,0.24354982548524826,0.4609347772397011,0.9609375,0.0001219842358851967,0.0008532537033850817,-0.0015151174727490197,0.0032216248795191834,0.25772181970981833,0.4361140560828077,0.6953125,0.4609347772397011,0.4609347772397011,0.9609375,0.9609375,0.4361140560828077,0.4361140560828077,0.6953125,0.6953125
w/o_gating,10,0.0032627865961199266,-0.0006378078780203042,0.007163381070260157,0.5983849230462186,0.09100714860732868,0.08984375,0.11978024031457263,0.003304995943335032,-0.0006414937774846291,0.007251485664154693,0.5990771139722382,0.09068938084676494,0.09765625,0.18201429721465737,0.12134286480977158,0.1796875,0.11979166666666667,0.18137876169352987,0.12091917446235324,0.1953125,0.13020833333333334
