subset,n_runs,cells,n_D1_S_gt_0.15,rate_D1,n_D2_rho_gt_1.5,rate_D2,n_D1_and_D2,rate_D1_and_D2
balanced_50,50,"A,B,C,D,O",12,0.24,30,0.6,10,0.2
all_available,90,"A,B,C,D,O",12,0.13333333333333333,67,0.7444444444444445,10,0.1111111111111111
