config,metric,n_paired,cfg_mean,full_mean,mean_diff,ci95_lo,ci95_hi,ci90_lo,ci90_hi,cohens_dz,t_p,wilcoxon_p,shapiro_p,tost_p_0.5pp,tost_eq_0.5pp,tost_p_1.0pp,tost_eq_1.0pp,t_holm_p,wilcoxon_holm_p,t_bh_p,tier
full_r2_gumbel,accuracy,30,0.7794016110471805,0.7732642884541617,0.00613732259301879,0.002633103407866544,0.009641541778171036,0.0032261025511556166,0.009048542634881963,0.6539870363154192,0.0012278846387577917,0.0024441533117948513,0.6721336089924685,0.7439678987178724,False,0.015946691882595565,True,0.019646154220124667,0.03910645298871762,0.005832452034099511,robust
full_r4_sparsemax,accuracy,10,0.7808975834292291,0.7744533947065593,0.006444188722669742,-5.051856414950949e-06,0.012893429301754435,0.0012181210977311443,0.011670256347608338,0.7147965484810985,0.050145020206494334,0.037109375,0.5589897198781444,0.6876828746694867,False,0.12189249803369695,False,0.5014502020649434,0.408203125,0.09527553839233924,marginal
full_r4_entmax,accuracy,10,0.778826237054085,0.7744533947065593,0.004372842347525885,-0.001648938999847198,0.010394623694898967,-0.0005068386254596206,0.00925252332051139,0.5194713643107475,0.1348573482404523,0.09765625,0.5312231812376929,0.4095085357051472,False,0.03183203331046325,True,1.0,0.87890625,0.2135241347140495,n.s.
full_r4_lstm,accuracy,10,0.7797468354430379,0.7744533947065593,0.0052934407364787165,-0.0016721749399741734,0.012259056412931606,-0.0003510654853130079,0.010937946958270441,0.5436273781341265,0.11971415805239057,0.18359375,0.5641726791063886,0.5369168624812679,False,0.08036917448312064,False,1.0,1.0,0.206779000272311,n.s.
full_r1_r2_r3,accuracy,10,0.7799769850402762,0.7744533947065593,0.00552359033371691,-0.004222772680693217,0.015269953348127037,-0.0023742623802435105,0.01342144304767733,0.40541671649544814,0.23186658727686077,0.244140625,0.9846832717101907,0.5470280222819198,False,0.16295877313297158,False,1.0,1.0,0.3388819352507965,n.s.
full_all,accuracy,10,0.778711162255466,0.7744533947065593,0.004257767548906799,-0.004843414998132949,0.013358950095946547,-0.003117270624113419,0.011632805721927018,0.33466238090062383,0.31749710074754245,0.322265625,0.14943615351161182,0.42886089969341645,False,0.09363171758995303,False,1.0,1.0,0.43088892244309335,n.s.
r1_w/o_spectral,accuracy,10,0.7874568469505179,0.7744533947065593,0.01300345224395858,0.005498264333028117,0.02050864015488904,0.006921709893146649,0.01908519459477051,1.239423912472314,0.003514158945042936,0.005859375,0.7583260981191491,0.9804506550697918,False,0.8055451930832538,False,0.05271238417564404,0.087890625,0.013353803991163158,suggestive
full_fixed_global,accuracy,10,0.7772151898734176,0.7744533947065593,0.0027617951668584386,-0.006122955590614559,0.011646545924331436,-0.004437860004924317,0.009961450338641195,0.22236631048717495,0.4997256192989358,0.6953125,0.8335063402109988,0.2913538662934305,False,0.049226115386660774,True,1.0,1.0,0.5585168686282224,n.s.
full_fixed_class,accuracy,10,0.8710011507479862,0.7744533947065593,0.09654775604142696,0.07021564841742889,0.12287986366542503,0.07520983672167568,0.11788567536117824,2.6228855292604094,1.6566608896338447e-05,0.001953125,0.0017140243230195542,0.999987320700253,False,0.9999802330446043,False,0.0002816323512377536,0.03515625,0.00010492185634347684,robust
w/o_spectral,macro_f1,30,0.6775397687659577,0.6319626235981615,0.04557714516779656,0.02415396371693745,0.06700032661865567,0.02777928724142294,0.06337500309417018,0.7944098191301802,0.000153079866816921,0.0003449581563472748,0.4903475469325564,0.9997185354881856,False,0.9990006271932862,False,0.002755437602704578,0.006554204970598221,0.0014542587347607496,robust
w/o_temporal,macro_f1,10,0.5093506161945067,0.6329071110386312,-0.1235564948441243,-0.16491478400206655,-0.08219820568618205,-0.15707070684175564,-0.09004228284649296,-2.1371046449459725,8.288341887759297e-05,0.001953125,0.0039116918401753565,0.9999432691177215,False,0.9999216228540165,False,0.0015747849586742664,0.03515625,0.0014542587347607496,robust
w/o_fusion,macro_f1,10,0.6490738971718146,0.6329071110386312,0.016166786133183453,-0.03424954305357992,0.06658311531994682,-0.024687503996056105,0.05702107626242301,0.22939040375525135,0.4866413444605411,0.375,0.6254692086401527,0.6858190105407496,False,0.6058702321907619,False,1.0,1.0,0.5452742436037994,n.s.
w/o_dynamic_gating,macro_f1,10,0.6149843950702404,0.6329071110386312,-0.017922715968390835,-0.05979454434052894,0.023949112403747277,-0.05185306853769646,0.016007636600914785,-0.30619963685624924,0.3581995306946636,0.375,0.3263169924245325,0.7486422233491706,False,0.6606554487051369,False,1.0,1.0,0.45371940554657386,n.s.
