config,n,seeds,accuracy,macro_f1,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
full,30,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71",0.7741±0.0145,0.6372±0.0364,0.7740698120444954,0.014544431510758666,0.6371851483053518,0.03637424517581888
w/o_spectral,30,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71",0.7862±0.0072,0.6692±0.0360,0.7861526658995012,0.00719012443820678,0.6691597454827112,0.03598473524824604
w/o_temporal,10,"42,43,44,45,46,47,48,49,50,51",0.6413±0.0096,0.5214±0.0143,0.6413118527042577,0.009567292889703195,0.5214386313590418,0.014256194445276569
w/o_fusion,10,"42,43,44,45,46,47,48,49,50,51",0.7697±0.0192,0.6425±0.0495,0.7697353279631761,0.01917491322966388,0.6424634241681614,0.049543564457598624
w/o_gating,30,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71",0.7726±0.0093,0.6639±0.0361,0.7725738396624473,0.009267695886600412,0.6639016303629276,0.036119693636076027
full_r2_gumbel,30,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71",0.7767±0.0080,0.6640±0.0514,0.7766781741465286,0.007989398782278594,0.6640012708521534,0.0513988236461992
tsnet_vanilla,10,"42,43,44,45,46,47,48,49,50,51",0.7845±0.0084,0.6745±0.0272,0.7844649021864212,0.008387225905733237,0.6744804550389714,0.027215353147519102
