config,n,seeds,accuracy,macro_f1,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
full,30,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71",0.7733±0.0070,0.6320±0.0503,0.7732642884541617,0.006960366279542028,0.6319626235981615,0.05031078622197016
w/o_spectral,30,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71",0.7857±0.0085,0.6775±0.0239,0.7857307249712313,0.00852828780502885,0.6775397687659577,0.023872453812645154
w/o_temporal,10,"42,43,44,45,46,47,48,49,50,51",0.6419±0.0181,0.5094±0.0298,0.6418872266973533,0.01809599739887137,0.5093506161945067,0.029775910090379908
w/o_fusion,10,"42,43,44,45,46,47,48,49,50,51",0.7762±0.0083,0.6491±0.0556,0.7761795166858458,0.008302593334067266,0.6490738971718146,0.05562852606579833
w/o_dynamic_gating,10,"42,43,44,45,46,47,48,49,50,51",0.7793±0.0128,0.6150±0.0699,0.7792865362485616,0.012823369763499461,0.6149843950702404,0.06992834720817608
w/o_gating,30,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71",0.7777±0.0072,0.6487±0.0497,0.7776754890678942,0.007249050933417803,0.6486874457298053,0.04973125484782376
