config,n_paired,acc_diff_mean,acc_ci95_lo,acc_ci95_hi,cohens_d_acc,t_paired_p,wilcoxon_p,shapiro_p_acc_diff,f1_diff_mean,f1_ci95_lo,f1_ci95_hi,cohens_d_f1,f1_t_paired_p,f1_wilcoxon_p,t_holm_p,t_bh_p,wilcoxon_holm_p,wilcoxon_bh_p,f1_t_holm_p,f1_t_bh_p,f1_wilcoxon_holm_p,f1_wilcoxon_bh_p
w/o_spectral,20,0.01156501726121979,0.0037595161800010376,0.01937051834243854,0.6934333404641158,0.005880315173916133,0.006551424658206644,0.2358865220072507,0.03287799563913345,0.014023675757752544,0.051732315520514355,0.8161193673456668,0.0017039225172772263,0.0014324188232421875,0.0176409455217484,0.0176409455217484,0.019654273974619933,0.019654273974619933,0.005111767551831679,0.005111767551831679,0.0042972564697265625,0.0042972564697265625
w/o_gating,20,-0.0020138089758342916,-0.00970781546161819,0.005680197509949607,-0.12249685702885739,0.5901922369393244,0.4809290391581269,0.5207478778403762,0.027259509733175834,-0.0030607724300379044,0.05757979189638957,0.420769279071834,0.07528281395855127,0.069580078125,1.0,0.5901922369393244,0.9618580783162538,0.6010541708056925,0.07528281395855127,0.07528281395855127,0.069580078125,0.069580078125
full_r2_gumbel,20,0.0029919447640966547,-0.006452428761128546,0.012436318289321856,0.14826534010644843,0.5152548971743776,0.6010541708056925,0.051285310985382145,0.03356858720749662,0.010848597334308863,0.05628857708068438,0.6914872103359437,0.005995477914359955,0.005580902099609375,1.0,0.5901922369393244,0.9618580783162538,0.6010541708056925,0.01199095582871991,0.008993216871539932,0.01116180419921875,0.008371353149414062
