config,accuracy,macro_f1
full,0.7744±0.0168,0.6327±0.0358
w/o_spectral,0.7860±0.0082,0.6656±0.0395
w/o_gating,0.7724±0.0103,0.6599±0.0396
full_r2_gumbel,0.7774±0.0084,0.6662±0.0392
