config,accuracy_mean,H_alpha,alpha_tvar,S_tau,rho_last,perm_null_z
full,0.7743958573072496,0.5102171471375019,0.02395040064584464,0.057713249884545806,2.37072494057022,66.55916919304632
w/o_spectral,0.7859608745684695,,,0.07527490369975567,,
w/o_gating,0.7723820483314154,0.5688078678941496,0.016396868717856707,,2.3517278925423186,81.63829154952471
full_r2_gumbel,0.7773878020713463,0.43828947096193405,0.01602110341191292,0.06784928515553475,2.310359518860046,57.503456334005534
