config,seed,epoch,rho
w/o_fusion,43,9,2.5270495815563248
w/o_fusion,43,10,1.4073594038075277
w/o_fusion,43,11,1.7136663593254737
w/o_fusion,43,12,1.7610870258256344
w/o_fusion,43,13,1.4890645606910633
w/o_fusion,43,14,1.8197330003600558
w/o_fusion,43,15,1.4718101964040686
w/o_fusion,43,16,1.6854879536121223
w/o_fusion,43,17,1.7523982632787682
w/o_fusion,43,18,1.8004969748750896
w/o_fusion,43,19,1.9628566136194552
w/o_fusion,43,20,1.4859629821098967
w/o_fusion,43,21,1.6874699725994247
w/o_fusion,44,0,2.4104821311726603
w/o_fusion,44,1,1.4671697796672067
w/o_fusion,44,2,1.8868352050991377
w/o_fusion,44,3,1.7001279293479152
w/o_fusion,44,4,1.5729900410251934
w/o_fusion,44,5,1.8732254397931363
w/o_fusion,44,6,1.3968723727310068
w/o_fusion,44,7,1.995835141864546
w/o_fusion,44,8,2.2250596266466314
w/o_fusion,44,9,1.8825329179601695
w/o_fusion,44,10,2.050828291429674
w/o_fusion,44,11,1.6901174038428914
w/o_fusion,44,12,1.4875537734091402
w/o_fusion,44,13,1.6327503556103307
w/o_fusion,44,14,1.310070806413214
w/o_fusion,44,15,1.4672591713967158
w/o_fusion,44,16,1.3736986862047849
w/o_fusion,44,17,1.6216094942662094
w/o_fusion,44,18,1.6363653975217136
w/o_fusion,44,19,2.180674324282182
w/o_fusion,44,20,1.595737593722341
w/o_fusion,44,21,2.1604867772889422
w/o_fusion,44,22,1.828225413443378
w/o_fusion,44,23,2.349457125439095
w/o_fusion,44,24,1.7659481447567216
w/o_fusion,44,25,1.5285818908410007
w/o_fusion,44,26,1.8036988898755117
w/o_fusion,44,27,1.668629311887802
w/o_fusion,44,28,1.7907632752571354
w/o_fusion,44,29,1.7399723483884413
w/o_fusion,45,0,2.540009198943924
w/o_fusion,45,1,2.0740563092386504
w/o_fusion,45,2,1.390577389696395
w/o_fusion,45,3,1.3890247088560908
w/o_fusion,45,4,1.6265378602134053
w/o_fusion,45,5,1.0769471948772709
w/o_fusion,45,6,2.1109143728504076
w/o_fusion,45,7,1.4714165474843046
w/o_fusion,45,8,1.7596710947576155
w/o_fusion,45,9,1.9463995699406489
w/o_fusion,45,10,0.9827765174823813
w/o_fusion,45,11,1.1188823938572119
w/o_fusion,45,12,1.941419817814375
w/o_fusion,45,13,1.6855336896470863
w/o_fusion,45,14,1.4270036983680163
w/o_fusion,45,15,1.2205553482119886
w/o_fusion,45,16,1.0308674478306363
w/o_fusion,45,17,1.3333577314848912
w/o_fusion,45,18,1.2979045726206848
w/o_fusion,45,19,1.4138067861671175
w/o_fusion,45,20,1.31201779922849
w/o_fusion,45,21,1.401140736892096
w/o_fusion,45,22,1.5827364604352105
w/o_fusion,45,23,2.265184898164094
w/o_fusion,45,24,1.7579292890687315
w/o_fusion,45,25,1.460333699717707
w/o_fusion,45,26,1.3210693287922761
w/o_fusion,45,27,1.51221299586342
w/o_fusion,45,28,1.6707084655913806
w/o_fusion,45,29,1.9210903412510028
w/o_fusion,46,0,2.5840222005516225
w/o_fusion,46,1,1.884595939991986
w/o_fusion,46,2,1.8194207840170211
w/o_fusion,46,3,1.528790462524226
w/o_fusion,46,4,1.7501232232480557
w/o_fusion,46,5,1.943985058957704
w/o_fusion,46,6,1.6241681421694079
w/o_fusion,46,7,1.49096938806054
w/o_fusion,46,8,2.609829731413691
w/o_fusion,46,9,2.0455430813984314
w/o_fusion,46,10,1.6308843575261829
w/o_fusion,46,11,1.7759285032612775
w/o_fusion,46,12,2.028432303626815
w/o_fusion,46,13,1.7562556815094612
w/o_fusion,46,14,2.0423341700215687
w/o_fusion,46,15,2.078254708503486
w/o_fusion,46,16,1.5049539577213822
w/o_fusion,46,17,1.2323391435158864
w/o_fusion,46,18,1.473740777929875
w/o_fusion,46,19,1.2503980539606732
w/o_fusion,46,20,1.5285576391646951
w/o_fusion,46,21,1.7025801920643187
w/o_fusion,46,22,1.70911246378772
w/o_fusion,46,23,2.5200707539609075
w/o_fusion,47,0,2.791078925608412
w/o_fusion,47,1,3.100723990046024
w/o_fusion,47,2,1.8198028857148287
w/o_fusion,47,3,1.9450322888651927
w/o_fusion,47,4,1.983506487346502
w/o_fusion,47,5,2.058771789874613
w/o_fusion,47,6,1.5818432002916205
w/o_fusion,47,7,2.059378501712096
w/o_fusion,47,8,1.8726644252746514
w/o_fusion,47,9,1.8804137681824655
w/o_fusion,47,10,2.830038394110627
w/o_fusion,47,11,2.536550812614982
w/o_fusion,47,12,2.705710727290973
w/o_fusion,47,13,1.939109458218826
w/o_fusion,47,14,2.020757297585434
w/o_fusion,47,15,1.8560581736864445
w/o_fusion,47,16,2.0232014579503224
w/o_fusion,48,0,2.666909896590684
w/o_fusion,48,1,2.3167766266232928
w/o_fusion,48,2,1.2501527347268433
w/o_fusion,48,3,1.57447882331043
w/o_fusion,48,4,1.8247639232980282
w/o_fusion,48,5,1.405873578896947
w/o_fusion,48,6,1.8534694383759305
w/o_fusion,48,7,2.217643798623369
w/o_fusion,48,8,1.650600915802346
w/o_fusion,48,9,1.7132060452293292
w/o_fusion,48,10,1.8786415707001067
w/o_fusion,48,11,1.4974414930433786
w/o_fusion,48,12,1.2709761682196952
w/o_fusion,48,13,1.5197789865102393
w/o_fusion,48,14,1.5841935142728125
w/o_fusion,48,15,1.3484661736212438
w/o_fusion,48,16,1.8801679708113714
w/o_fusion,48,17,1.4373310664421024
w/o_fusion,49,0,3.0209773608309725
w/o_fusion,49,1,2.5918583027231867
w/o_fusion,49,2,1.7695748544514707
w/o_fusion,49,3,2.1171885902344245
w/o_fusion,49,4,1.4695819817417481
w/o_fusion,49,5,2.006845045151718
w/o_fusion,49,6,1.6606626474278765
w/o_fusion,49,7,1.3585870477454325
w/o_fusion,49,8,1.9793659422610945
w/o_fusion,49,9,1.801786143104862
w/o_fusion,49,10,1.6168580732752622
w/o_fusion,49,11,2.042703553887832
w/o_fusion,49,12,2.200206872247135
w/o_fusion,49,13,2.4334352751468398
w/o_fusion,49,14,1.5624438472880766
w/o_fusion,49,15,1.6778172957583743
w/o_fusion,49,16,1.871903813204447
w/o_fusion,50,0,2.079678883133309
w/o_fusion,50,1,1.9214360784464406
w/o_fusion,50,2,1.4874393533702726
w/o_fusion,50,3,1.2687484062395784
w/o_fusion,50,4,1.3382468753054249
w/o_fusion,50,5,1.4995838739745468
w/o_fusion,50,6,1.9290324465774198
w/o_fusion,50,7,1.82854711592529
w/o_fusion,50,8,2.0640709842531653
w/o_fusion,50,9,2.77267678718997
w/o_fusion,50,10,0.8931857443425343
w/o_fusion,50,11,1.8777890289281665
w/o_fusion,50,12,1.812645472615789
w/o_fusion,50,13,2.0118873900457883
w/o_fusion,50,14,2.386124667731928
w/o_fusion,50,15,1.9132723855554457
w/o_fusion,50,16,1.7703137417231765
w/o_fusion,51,0,2.69210846888549
w/o_fusion,51,1,2.4187519779125153
w/o_fusion,51,2,1.8779537705178617
w/o_fusion,51,3,1.660562868338526
w/o_fusion,51,4,1.6163012857501864
w/o_fusion,51,5,1.5545443743168164
w/o_fusion,51,6,1.7551417855150646
w/o_fusion,51,7,2.25418684332019
w/o_fusion,51,8,1.7061534114336108
w/o_fusion,51,9,2.3646548836623777
w/o_fusion,51,10,2.179896966587828
w/o_fusion,51,11,2.781860009436475
w/o_fusion,51,12,1.8374268073305096
w/o_fusion,51,13,2.122765844694114
w/o_fusion,51,14,1.9903174633547787
w/o_fusion,51,15,1.773246395093934
w/o_fusion,51,16,1.766735724886763
w/o_fusion,51,17,1.5222321969960388
w/o_fusion,51,18,1.4919870373651993
w/o_fusion,51,19,1.5464771812792102
w/o_fusion,51,20,1.3461626974425052
w/o_fusion,51,21,1.3983896987366717
w/o_fusion,51,22,1.4823742444951074
w/o_fusion,51,23,1.6549959587493366
w/o_gating,42,0,3.5372822408433646
w/o_gating,42,1,3.5655982000551965
w/o_gating,42,2,3.217105530089868
w/o_gating,42,3,3.3573965239479504
w/o_gating,42,4,3.4106797055101077
w/o_gating,42,5,2.8969397815467666
w/o_gating,42,6,3.2808102109958557
w/o_gating,42,7,2.1908912180075433
w/o_gating,42,8,3.0127446596739356
w/o_gating,42,9,1.5787661067472336
w/o_gating,42,10,1.287119264085323
w/o_gating,42,11,1.1238563223416898
w/o_gating,42,12,1.7210846926077163
w/o_gating,42,13,1.4607834396811388
w/o_gating,43,0,7.688686554391673
w/o_gating,43,1,11.671377392866072
w/o_gating,43,2,9.764651714612544
w/o_gating,43,3,9.514433596892436
w/o_gating,43,4,8.72363518502356
w/o_gating,43,5,7.29529184203675
w/o_gating,43,6,8.718624563039196
w/o_gating,43,7,4.527774279700781
w/o_gating,43,8,5.432415748530846
w/o_gating,43,9,3.4118585830377253
w/o_gating,43,10,2.727969514075363
w/o_gating,43,11,2.7440685836371035
w/o_gating,43,12,3.4204786762277193
w/o_gating,43,13,5.557319130085488
w/o_gating,43,14,5.0728868852871845
w/o_gating,43,15,3.617275464654386
w/o_gating,44,0,6.054812752970289
w/o_gating,44,1,3.786935427318478
w/o_gating,44,2,3.293446352661971
w/o_gating,44,3,3.2112450263694337
w/o_gating,44,4,1.9322870477318714
w/o_gating,44,5,2.178878522502056
w/o_gating,44,6,1.8984120073520325
w/o_gating,44,7,2.1784460749944916
w/o_gating,44,8,2.5318248627692803
w/o_gating,44,9,2.020357863171946
w/o_gating,44,10,2.557708818985271
w/o_gating,44,11,2.55376493163244
w/o_gating,44,12,2.3605116308444933
w/o_gating,45,0,9.47617587923305
w/o_gating,45,1,9.709127881325688
w/o_gating,45,2,11.411812588638693
w/o_gating,45,3,13.459938152177038
w/o_gating,45,4,9.726663381667446
w/o_gating,45,5,9.16684012988253
w/o_gating,45,6,10.025430148695595
w/o_gating,45,7,7.558703159123473
w/o_gating,45,8,8.742862903157462
w/o_gating,45,9,8.90883897520915
w/o_gating,45,10,7.872209404481703
w/o_gating,45,11,6.642510151614135
w/o_gating,46,0,3.127956251336947
w/o_gating,46,1,3.11472974853314
w/o_gating,46,2,2.454266016810907
w/o_gating,46,3,1.7614299973468466
w/o_gating,46,4,1.8236189232868871
w/o_gating,46,5,3.1209899892502966
w/o_gating,46,6,2.1105007457639187
w/o_gating,46,7,2.8493967800801863
w/o_gating,46,8,1.632110742090957
w/o_gating,46,9,1.7796191232387868
w/o_gating,46,10,2.3167512923305216
w/o_gating,46,11,2.3806116684308103
w/o_gating,46,12,2.2446054410315215
w/o_gating,46,13,2.019890659212554
w/o_gating,46,14,2.720314802555713
w/o_gating,46,15,1.8773803193937435
w/o_gating,46,16,3.0351651737055056
w/o_gating,46,17,3.341262385533751
w/o_gating,46,18,2.9869864767972114
w/o_gating,46,19,3.5097671162273683
w/o_gating,46,20,3.3411740433577495
w/o_gating,46,21,2.7022720987980815
w/o_gating,46,22,2.0447080336593695
w/o_gating,46,23,2.1190183486895133
w/o_gating,46,24,2.1589745026760463
w/o_gating,46,25,2.152089719216325
w/o_gating,46,26,2.124457013272588
w/o_gating,46,27,1.9180302551688058
w/o_gating,46,28,1.8324223112467766
w/o_gating,46,29,1.8504450008623772
w/o_gating,46,30,1.7501176907698155
w/o_gating,46,31,1.8951614561007164
w/o_gating,46,32,2.698240788902671
w/o_gating,46,33,1.802472689551428
w/o_gating,46,34,2.079317264935283
w/o_gating,46,35,2.180897996386558
w/o_gating,46,36,1.73552606841846
w/o_gating,46,37,1.6776305138460077
w/o_gating,46,38,2.021303506705417
w/o_gating,46,39,2.113947894722922
w/o_gating,46,40,2.079462675621937
w/o_gating,46,41,2.448901224780987
w/o_gating,46,42,1.4697311244096443
w/o_gating,46,43,2.4811333630305077
w/o_gating,46,44,1.980895701912782
w/o_gating,46,45,2.0989058573325403
w/o_gating,46,46,2.4526516924767203
w/o_gating,46,47,2.721337346712698
w/o_gating,46,48,2.2067143283990998
w/o_gating,46,49,2.228488277852862
w/o_gating,47,0,3.033618573820511
w/o_gating,47,1,2.1669763281027725
w/o_gating,47,2,2.228691778104852
w/o_gating,47,3,1.8775017278469803
w/o_gating,47,4,1.6724579954858965
w/o_gating,47,5,2.0196974470337086
w/o_gating,47,6,2.1108778290345565
w/o_gating,47,7,1.6270456946325431
w/o_gating,47,8,2.1593607908648957
w/o_gating,47,9,1.8415219433704544
w/o_gating,47,10,1.6211498814763443
w/o_gating,47,11,1.4876826069197442
w/o_gating,47,12,2.128278762551687
w/o_gating,47,13,2.0070523142619954
w/o_gating,47,14,1.8690288699173325
w/o_gating,48,0,4.125756608955003
w/o_gating,48,1,3.6379577981352487
w/o_gating,48,2,3.3934836299399187
w/o_gating,48,3,2.7198653172229785
w/o_gating,48,4,2.841151570175701
w/o_gating,48,5,2.236900207843222
w/o_gating,48,6,3.5084935136194146
w/o_gating,48,7,2.8583037597613927
w/o_gating,48,8,3.4184929430816213
w/o_gating,48,9,2.8023126968467515
w/o_gating,48,10,1.652766377776107
w/o_gating,48,11,2.9950131123882775
w/o_gating,48,12,2.802801637567617
w/o_gating,48,13,2.566318925914067
w/o_gating,48,14,1.98510890401541
w/o_gating,48,15,2.927369215252932
w/o_gating,48,16,4.6059069327946425
w/o_gating,48,17,2.9575666991175833
w/o_gating,48,18,3.57627838968261
w/o_gating,48,19,3.7669534543493044
w/o_gating,48,20,2.7022885550305435
w/o_gating,48,21,2.285373983401294
w/o_gating,48,22,2.0508032539251406
w/o_gating,48,23,2.9948204986767553
w/o_gating,48,24,2.187652204522373
w/o_gating,48,25,2.623486029754602
w/o_gating,49,0,3.356639902678657
w/o_gating,49,1,3.136066195144568
w/o_gating,49,2,2.278548891182424
w/o_gating,49,3,2.8467432862440294
w/o_gating,49,4,2.4724116859246097
w/o_gating,49,5,2.686003750522465
w/o_gating,49,6,3.4485051265943683
w/o_gating,49,7,3.6361529391800262
w/o_gating,49,8,2.9899940844045725
w/o_gating,49,9,2.928730194352074
w/o_gating,49,10,2.4936167979462756
w/o_gating,49,11,2.6261633010303997
w/o_gating,49,12,2.3676356479050362
w/o_gating,49,13,3.190079567364429
w/o_gating,49,14,2.6375504751665693
w/o_gating,49,15,2.678324744846962
w/o_gating,49,16,3.9154159192721334
w/o_gating,50,0,3.426091868732066
w/o_gating,50,1,2.2045899428748768
w/o_gating,50,2,1.8580671699724944
w/o_gating,50,3,1.6893949860076551
w/o_gating,50,4,1.4461570239063017
w/o_gating,50,5,1.9385559145597255
w/o_gating,50,6,2.2521711329194196
w/o_gating,50,7,2.4165971898129532
w/o_gating,50,8,3.1507788701098676
w/o_gating,50,9,3.035448053968234
w/o_gating,50,10,2.3219962494941457
w/o_gating,50,11,2.3911657255058563
w/o_gating,50,12,2.908159114786711
w/o_gating,50,13,2.38303205901512
