config,accuracy_mean,H_alpha,alpha_tvar,S_tau,rho_last,perm_null_z
full,0.7734177215189872,0.4695175137868775,0.026928603090345858,0.06392072029411792,2.4394872701193306,80.86003621610108
w/o_spectral,0.7865362485615651,,,0.080719942599535,,
w/o_temporal,0.6413118527042577,,,0.05212365798652172,,
w/o_fusion,0.7697353279631761,,,0.047249989956617354,1.8144227548962892,
w/o_gating,0.7729574223245109,0.5263604743822737,0.020475140027701854,,2.998762223089082,111.38942259293142
tsnet_vanilla,0.7844649021864212,,,,,
