config,n_paired,acc_diff_mean,acc_ci95_lo,acc_ci95_hi,cohens_d_acc,t_paired_p,wilcoxon_p,shapiro_p_acc_diff,f1_diff_mean,f1_ci95_lo,f1_ci95_hi,cohens_d_f1,f1_t_paired_p,f1_wilcoxon_p,t_holm_p,t_bh_p,wilcoxon_holm_p,wilcoxon_bh_p,f1_t_holm_p,f1_t_bh_p,f1_wilcoxon_holm_p,f1_wilcoxon_bh_p
w/o_spectral,10,0.013118527042577665,0.00578433181961614,0.02045272226553919,1.2795444668135585,0.0029011147270784714,0.005859375,0.7362537980354851,0.030167800253811126,-0.011125919579337729,0.07146152008695998,0.5226156504356203,0.1327921964342227,0.16015625,0.011604458908313886,0.007252786817696179,0.0234375,0.0146484375,0.39837658930266806,0.22132032739037114,0.48046875,0.2001953125
w/o_temporal,10,-0.13210586881472955,-0.14123802260244406,-0.12297371502701503,-10.348363351371288,1.1432885025520385e-10,0.001953125,0.5637626140285152,-0.12476165327643476,-0.14885854174525653,-0.10066476480761298,-3.70376077339163,9.465317674978978e-07,0.001953125,5.716442512760193e-10,5.716442512760193e-10,0.009765625,0.009765625,4.7326588374894894e-06,4.7326588374894894e-06,0.009765625,0.009765625
w/o_fusion,10,-0.0036823935558112806,-0.016273667676860473,0.008908880565237913,-0.20921041312632224,0.5248137861577161,0.76953125,0.21748928110067983,-0.0037368604673151283,-0.05158846854473799,0.04411474761010774,-0.05586414018976083,0.8636885318055747,0.845703125,1.0,0.6560172326971452,1.0,0.943359375,0.8636885318055747,0.8636885318055747,0.845703125,0.845703125
w/o_gating,10,-0.0004602991944764101,-0.008310206949127864,0.007389608560175044,-0.04194676139809675,0.8973906828048557,0.943359375,0.945465972647868,0.025630426706375654,-0.01569768627241822,0.06695853968516953,0.4436423883371766,0.19418391940498173,0.16015625,1.0,0.8973906828048557,1.0,0.943359375,0.39837658930266806,0.24272989925622715,0.48046875,0.2001953125
tsnet_vanilla,10,0.01104718066743381,0.001748350093352823,0.0203460112415148,0.8498570781558112,0.0248989200066332,0.009765625,0.03406092015516277,0.028280170403494908,-0.0033698419311066173,0.05993018273809643,0.6391913843916669,0.0739664990774327,0.10546875,0.0746967600198996,0.04149820001105533,0.029296875,0.016276041666666668,0.2958659963097308,0.18491624769358175,0.421875,0.2001953125
