degradation,full,w/o_spectral,w/o_temporal,w/o_fusion,w/o_gating,delta_vs_clean_pp
clean,0.9986±0.0004,0.9979±0.0006,0.9715±0.0014,0.9987±0.0004,0.9982±0.0004,0.0
gaussian_noise_snr20,0.7861±0.1236,0.9949±0.0007,0.3069±0.0882,0.7011±0.1156,0.7248±0.1944,-29.02
gaussian_noise_snr10,0.4117±0.0661,0.8370±0.0118,0.2236±0.0675,0.3145±0.1291,0.3993±0.1895,-55.57
drift,0.4686±0.0738,0.5941±0.0890,0.2974±0.0665,0.4813±0.0502,0.4630±0.0492,-53.21
bias,0.8260±0.0110,0.7558±0.0065,0.9715±0.0014,0.8232±0.0110,0.8235±0.0119,-15.3
stuck,0.7543±0.0283,0.7950±0.0074,0.6640±0.0236,0.7426±0.0268,0.7574±0.0193,-25.03
dropout,0.4783±0.1051,0.9310±0.0092,0.2296±0.0691,0.3745±0.1049,0.4785±0.1542,-49.46
downsample,0.9288±0.0165,0.9283±0.0100,0.7506±0.0133,0.9289±0.0147,0.9224±0.0106,-10.11
