config,n_paired,acc_diff_mean,acc_ci95_lo,acc_ci95_hi,cohens_d_acc,t_paired_p,wilcoxon_p,shapiro_p_acc_diff,f1_diff_mean,f1_ci95_lo,f1_ci95_hi,cohens_d_f1,f1_t_paired_p,f1_wilcoxon_p,t_holm_p,t_bh_p,wilcoxon_holm_p,wilcoxon_bh_p,f1_t_holm_p,f1_t_bh_p,f1_wilcoxon_holm_p,f1_wilcoxon_bh_p
w/o_spectral,10,-0.0006532576929689116,-0.0011791088696687206,-0.0001274065162691027,-0.8886780571198536,0.020368843483209203,0.01171875,0.05694297337257099,-0.0007324766868337717,-0.0013067826678189371,-0.00015817070584860636,-0.9123747161577709,0.01802518110887025,0.009765625,0.061106530449627605,0.040737686966418406,0.03515625,0.0234375,0.054075543326610756,0.0360503622177405,0.029296875,0.01953125
w/o_temporal,10,-0.02708362636160473,-0.028156206660430914,-0.026011046062778542,-18.063411362026827,7.776406536089085e-13,0.001953125,0.5039672642016559,-0.02258689373543212,-0.023517136246637524,-0.02165665122422672,-17.36933135546543,1.105428487028927e-12,0.001953125,3.110562614435634e-12,3.110562614435634e-12,0.0078125,0.0078125,4.421713948115708e-12,4.421713948115708e-12,0.0078125,0.0078125
w/o_fusion,10,0.00011252285620515501,-0.0002810781837845328,0.0005061238961948429,0.20450657922044768,0.5339651862051941,0.537109375,0.21937632820485065,1.8472811282199686e-05,-0.00038108814452461566,0.00041803376708901503,0.033072934007604936,0.918998166885314,0.921875,0.5339651862051941,0.5339651862051941,0.537109375,0.537109375,0.918998166885314,0.918998166885314,0.921875,0.921875
w/o_gating,10,-0.00036413646521952223,-0.000836517043425074,0.00010824411298602962,-0.5514357429766795,0.11516255731015855,0.232421875,0.4923493193629604,-0.00023894691754529075,-0.0006594300768729613,0.0001815362417823797,-0.40651408703201847,0.23070484318183163,0.275390625,0.2303251146203171,0.15355007641354473,0.46484375,0.3098958333333333,0.46140968636366325,0.3076064575757755,0.55078125,0.3671875
