config,seed,final.H_alpha,final.S_tau,final.accuracy,final.alpha_tvar,final.degradation.bias,final.degradation.downsample,final.degradation.drift,final.degradation.dropout,final.degradation.gaussian_noise_snr10,final.degradation.gaussian_noise_snr20,final.degradation.stuck,final.epochs_run,final.macro_f1,final.per_class_alpha,final.per_class_alpha.0,final.per_class_alpha.1,final.per_class_alpha.10,final.per_class_alpha.11,final.per_class_alpha.12,final.per_class_alpha.13,final.per_class_alpha.14,final.per_class_alpha.15,final.per_class_alpha.16,final.per_class_alpha.17,final.per_class_alpha.2,final.per_class_alpha.3,final.per_class_alpha.4,final.per_class_alpha.5,final.per_class_alpha.6,final.per_class_alpha.7,final.per_class_alpha.8,final.per_class_alpha.9,final.perm_null,final.perm_null.null_mean,final.perm_null.null_std,final.perm_null.observed_var,final.perm_null.z,final.rho_last
full,42,0.5051122770470712,0.05697452649474144,0.7848101265822784,0.012596359476447105,0.7433831990794016,0.7836593785960875,0.6582278481012658,0.6260069044879172,0.6398158803222095,0.6605293440736478,0.7836593785960875,13,0.5805485977260635,,0.9023390412330627,0.8229482173919678,0.26091673970222473,0.0277254618704319,0.7777151465415955,0.8494208455085754,0.3469524383544922,0.7547536492347717,0.8095539212226868,0.014249038882553577,0.009140993468463421,8.466386480776578e-10,0.9548962116241455,0.33071455359458923,0.3567064106464386,0.9766689538955688,0.8986703157424927,0.7671747207641602,,0.00345135061070323,4.783963373336432e-05,0.012596359476447105,191.159671613587,1.086714801380789
full,43,0.5354764465148346,0.06956224143505096,0.7756041426927502,0.04109395295381546,0.7387802071346375,0.7756041426927502,0.5949367088607594,0.6156501726121979,0.5523590333716916,0.6386651323360184,0.7733026467203682,24,0.6145727686165502,,0.6477980613708496,0.5941284894943237,0.5805172324180603,0.21951384842395782,0.6379308104515076,0.7704095244407654,0.609565794467926,0.7075801491737366,0.6207608580589294,0.031661584973335266,0.2257070541381836,1.914716928752296e-21,0.9618919491767883,0.6087983250617981,0.6330384612083435,0.9659285545349121,0.8872206211090088,0.6877106428146362,,0.01158012980595231,0.00016516905656176274,0.04109394550323486,178.68852757875828,1.9465957466422728
full,44,0.5764867246872117,0.059713032096624374,0.7813578826237054,0.018397001549601555,0.7640966628308401,0.7802071346375143,0.5454545454545454,0.6144994246260069,0.5489067894131185,0.6260069044879172,0.7779056386651323,13,0.6136455863406156,,0.9804523587226868,0.3807041645050049,0.426955908536911,0.03583706170320511,0.677215576171875,0.688861072063446,0.3458760380744934,0.3095458745956421,0.36518362164497375,0.6484158635139465,0.02150561474263668,0.000325854925904423,0.8846432566642761,0.6646774411201477,0.6420518159866333,0.9871591925621033,0.8752546906471252,0.3221948742866516,,0.005049104546196758,8.814115481732475e-05,0.018397001549601555,151.4377350697411,0.8539961302988762
full,45,0.36339259175639066,0.06675560772418976,0.7756041426927502,0.03327663987874985,0.7733026467203682,0.7767548906789413,0.5281933256616801,0.6329113924050633,0.7226697353279632,0.7537399309551208,0.7744533947065593,36,0.5919492038874523,,0.7574387192726135,0.9140191078186035,0.485372394323349,0.2468164712190628,0.7650414705276489,0.7493790984153748,0.4367139935493469,0.864295244216919,0.9051918387413025,0.09878697991371155,0.26459309458732605,9.042623361210644e-08,0.9222769141197205,0.013807054609060287,0.07042872160673141,0.3044373095035553,0.8230254650115967,0.8735144138336182,,0.0071828846586868165,8.95932740341547e-05,0.03327663987874985,291.2468063045534,1.652193616113481
full,46,0.5559491538553825,0.06322188675403595,0.7836593785960875,0.025616025552153587,0.7226697353279632,0.7802071346375143,0.7790563866513234,0.6559263521288837,0.6237054085155351,0.7825086306098964,0.7836593785960875,13,0.51926379296082,,0.9655354022979736,0.664678692817688,0.4759055972099304,0.030102524906396866,0.8189198970794678,0.7738811373710632,0.40911734104156494,0.6366345882415771,0.6550095081329346,0.00012003821757389233,0.02539222314953804,2.648467166063706e-12,0.912572979927063,0.49860242009162903,0.5975699424743652,0.8044382929801941,0.8978355526924133,0.6410065293312073,,0.005250096949748695,8.837068231394986e-05,0.025616025552153587,230.4602367965396,1.7189311170584562
full,47,0.5344967767934252,0.11005502939224243,0.7698504027617952,0.03346043452620506,0.7284234752589183,0.7790563866513234,0.6432681242807825,0.6317606444188723,0.620253164556962,0.6329113924050633,0.7698504027617952,23,0.6492386612883412,,0.9328996539115906,0.823909342288971,0.316395103931427,0.49431416392326355,0.8203470706939697,0.7234312295913696,0.7600754499435425,0.5942585468292236,0.7825106978416443,0.9345734119415283,0.8077359795570374,4.240953768719358e-11,0.9568526744842529,0.3514460623264313,0.40823712944984436,0.9999273419380188,0.9013631343841553,0.6366140842437744,,0.00816584606654942,9.073533406733303e-05,0.03346043452620506,278.7732964328064,1.422926336363203
full,48,0.6104405623855347,0.05080217868089676,0.766398158803222,0.0161578468978405,0.7525891829689298,0.7686996547756041,0.567318757192175,0.6283084004602992,0.663981588032221,0.6283084004602992,0.759493670886076,15,0.5648517814568561,,0.9743043780326843,0.6404622197151184,0.49846142530441284,0.07807755470275879,0.7583954930305481,0.7442988753318787,0.3889608383178711,0.5291844010353088,0.6147616505622864,0.061157867312431335,0.03381340950727463,1.7192810760138788e-12,0.9323256611824036,0.41915300488471985,0.4363713264465332,0.7883353233337402,0.9228866696357727,0.5488885641098022,,0.005823433841578662,7.36132187430712e-05,0.0161578468978405,140.38800493079313,1.4043683208044406
full,49,0.5078818623501463,0.08319183439016342,0.7871116225546605,0.02989841252565384,0.7468354430379747,0.7790563866513234,0.5558112773302647,0.619102416570771,0.5960874568469505,0.6409666283084005,0.7836593785960875,35,0.7016143754500107,,0.9740080237388611,0.8702000379562378,0.39226341247558594,0.2044074833393097,0.6729444265365601,0.7418206930160522,0.8172821998596191,0.8228736519813538,0.8565707802772522,0.8309124708175659,0.6742599010467529,0.03129461407661438,0.9498850703239441,0.3805764615535736,0.367588609457016,0.9841375946998596,0.9023250937461853,0.8309494853019714,,0.007314428687095642,9.13141299138395e-05,0.02989841438829899,247.32191474847113,1.783548512748586
full,50,0.6008974468656336,0.06450102478265762,0.7733026467203682,0.03158627450466156,0.7422324510932106,0.7733026467203682,0.5891829689298044,0.6064441887226697,0.5615650172612198,0.7537399309551208,0.7733026467203682,15,0.6470812721819935,,0.8155008554458618,0.6360519528388977,0.23278817534446716,0.16518455743789673,0.6897968053817749,0.7469989061355591,0.8129376769065857,0.5245429277420044,0.6150509119033813,0.992760181427002,0.820637047290802,4.28047549323545e-15,0.9018890261650085,0.7230584025382996,0.7361185550689697,0.9935616850852966,0.7550182342529297,0.5451077818870544,,0.009852467942982912,0.00010925991213113938,0.03158627450466156,198.9183950347152,1.6527261985747224
full,51,0.6017917820624734,0.06761430948972702,0.7963176064441887,0.02416667342185974,0.766398158803222,0.7825086306098964,0.620253164556962,0.6973532796317606,0.6260069044879172,0.6501726121979287,0.7848101265822784,17,0.6817244741156263,,0.9823042750358582,0.4409807324409485,0.5352775454521179,0.5945615768432617,0.6463664174079895,0.6935061812400818,0.7709794044494629,0.32418185472488403,0.416831910610199,0.9984338283538818,0.7695527672767639,2.019285005872007e-08,0.9159131050109863,0.3128215968608856,0.33916881680488586,0.9979645013809204,0.9027382731437683,0.3453216254711151,,0.007400494068861008,9.264620463539058e-05,0.02416667342185974,180.96995163495507,2.0130740218716796
