config,seed,final.H_alpha,final.S_tau,final.accuracy,final.alpha_tvar,final.epochs_run,final.macro_f1,final.per_class_alpha,final.per_class_alpha.0,final.per_class_alpha.1,final.per_class_alpha.10,final.per_class_alpha.11,final.per_class_alpha.12,final.per_class_alpha.13,final.per_class_alpha.14,final.per_class_alpha.15,final.per_class_alpha.16,final.per_class_alpha.17,final.per_class_alpha.2,final.per_class_alpha.3,final.per_class_alpha.4,final.per_class_alpha.5,final.per_class_alpha.6,final.per_class_alpha.7,final.per_class_alpha.8,final.per_class_alpha.9,final.perm_null,final.perm_null.null_mean,final.perm_null.null_std,final.perm_null.observed_var,final.perm_null.z,final.rho_last
full_all,42,0.588072846286947,0.7076521515846252,0.7940161104718066,0.013211778365075588,21,0.7047035160486842,,0.511963963508606,0.607001781463623,0.39157751202583313,0.4017835855484009,0.5116605162620544,0.44901353120803833,0.486575186252594,0.5976753234863281,0.6057025790214539,0.5197466611862183,0.4501217305660248,0.5179029107093811,0.5829442143440247,0.4492798447608948,0.4552153944969177,0.5462433695793152,0.5116145610809326,0.5994516015052795,,0.006984125007875264,2.5519760933672637e-05,0.013211778365075588,244.03258045221435,0.7404085323829721
full_all,43,0.5615249922792548,0.7143932580947876,0.7848101265822784,0.012695379555225372,24,0.6179768855404048,,0.5639792084693909,0.5605208277702332,0.4438045620918274,0.4489985704421997,0.5143160820007324,0.4976470172405243,0.49657517671585083,0.5562666654586792,0.5602591037750244,0.4879750609397888,0.46400558948516846,0.4224330186843872,0.5971643924713135,0.4215161204338074,0.42370542883872986,0.57379549741745,0.5591393709182739,0.557215690612793,,0.0074708830332383515,3.31936391703252e-05,0.012695379555225372,157.39450374164358,0.7803279863600168
full_all,44,0.5756593941207268,0.753264307975769,0.7698504027617952,0.01963527873158455,30,0.6783426603261334,,0.5637797713279724,0.5559138655662537,0.48549073934555054,0.4894980192184448,0.4726940393447876,0.4842383563518524,0.517000675201416,0.5372347235679626,0.5527480840682983,0.5669002532958984,0.4447759687900543,0.5133631825447083,0.5727695226669312,0.4778587520122528,0.4800806939601898,0.5502418279647827,0.5356775522232056,0.5409030914306641,,0.012980659445747732,4.205116882668305e-05,0.01963527873158455,158.25051510491414,0.7049692058133952
full_all,45,0.506615392454728,0.801429271697998,0.7652474108170311,0.019686855375766754,24,0.6219368380502135,,0.5690187215805054,0.5451817512512207,0.4597260653972626,0.4421132504940033,0.49787795543670654,0.4861239194869995,0.5310956239700317,0.5399254560470581,0.5439454913139343,0.4318844676017761,0.455911248922348,0.3780438005924225,0.5688494443893433,0.48314619064331055,0.48995405435562134,0.5604363679885864,0.5438567996025085,0.540865421295166,,0.008937397180125118,5.5196964544938845e-05,0.019686855375766754,194.74726716435015,1.0997560928615926
full_all,46,0.6460462328452542,0.7192836403846741,0.7710011507479861,0.010730577632784843,21,0.6634424702835386,,0.6169902086257935,0.5336137413978577,0.46254709362983704,0.4791874289512634,0.45829400420188904,0.4873313009738922,0.4865969717502594,0.5208612084388733,0.5313050746917725,0.4877450168132782,0.5123719573020935,0.5185724496841431,0.5680267810821533,0.4854479730129242,0.4836251437664032,0.5949997901916504,0.5807892680168152,0.5233630537986755,,0.007539992220699787,4.757829870181493e-05,0.010730577632784843,67.05967703934884,0.7923788651151413
full_all,47,0.5761713968976728,0.7394577264785767,0.7882623705408516,0.013327294960618019,22,0.6784383192067254,,0.5396029949188232,0.46939101815223694,0.4969203770160675,0.5165825486183167,0.47191306948661804,0.473760724067688,0.5329902172088623,0.4514520764350891,0.4654165804386139,0.5080608129501343,0.5275387763977051,0.4444884955883026,0.5241302847862244,0.4806024134159088,0.4818822145462036,0.5570488572120667,0.5124537348747253,0.4546552002429962,,0.009438326209783554,3.31522797052166e-05,0.013327294960618019,117.30622051057034,1.07971236007567
full_all,48,0.5588167519201582,0.7065627574920654,0.7848101265822784,0.014850642532110214,26,0.6835473498344783,,0.6013813018798828,0.5311219692230225,0.5102488994598389,0.5093356370925903,0.5141741633415222,0.5305504202842712,0.5421341061592102,0.5321357250213623,0.5313284397125244,0.5219647884368896,0.5150499939918518,0.5047754645347595,0.5770304203033447,0.44603466987609863,0.4529469907283783,0.5982483625411987,0.5828907489776611,0.5320243239402771,,0.008513404009863734,7.370971733256052e-05,0.014850642532110214,85.97561713171098,0.755482467471088
full_all,49,0.6665455146933718,0.7533460259437561,0.7882623705408516,0.010920108295977116,17,0.663762777500348,,0.5079386830329895,0.450169175863266,0.4485718607902527,0.44979408383369446,0.420309841632843,0.3988833725452423,0.4858042299747467,0.4383983910083771,0.4481707811355591,0.4644949734210968,0.46845775842666626,0.4467778205871582,0.48786962032318115,0.3961455225944519,0.39813825488090515,0.5275392532348633,0.4967663288116455,0.44064390659332275,,0.006783263664692641,3.2353563276168926e-05,0.010920108295977116,127.86364420230517,0.8962132599023731
full_all,50,0.6009708414432564,0.6926975846290588,0.7813578826237054,0.012581435963511467,16,0.6593689775064533,,0.5628010034561157,0.4997780919075012,0.51493901014328,0.5023888349533081,0.4683430790901184,0.5016382932662964,0.5117108225822449,0.5080709457397461,0.5015811920166016,0.5002604126930237,0.46894457936286926,0.41628700494766235,0.5167562365531921,0.4568769931793213,0.46224188804626465,0.4747266471385956,0.5523648262023926,0.5065962076187134,,0.00563285646494478,5.465098521547553e-05,0.012581435963511467,127.14463141012918,0.9144678423442798
full_all,51,0.681190005542653,0.6684707999229431,0.759493670886076,0.009539427235722542,16,0.6831990673882918,,0.5272682905197144,0.5009312629699707,0.4703969657421112,0.4850090742111206,0.46106889843940735,0.45436590909957886,0.5016492009162903,0.5081318616867065,0.5029186010360718,0.499821275472641,0.45426705479621887,0.45585423707962036,0.5278425216674805,0.4032812714576721,0.40779343247413635,0.5240441560745239,0.519047737121582,0.5071870684623718,,0.007927553541958333,5.760916599077121e-05,0.009539427235722542,27.979465386514367,0.8026150137785562
full_fixed_class,42,0.823576324357023,0.10082122683525085,0.8814729574223246,0.0,27,0.6967473967088293,,0.6129680275917053,0.5818601250648499,0.16875554621219635,0.22716714441776276,0.6610987782478333,0.7711843252182007,0.5355457663536072,0.6304051876068115,0.5532804131507874,0.15006785094738007,0.14948584139347076,0.09039264172315598,0.8683647513389587,0.43664637207984924,0.4241197407245636,0.8650131821632385,0.8345624804496765,0.6676788926124573,,0.0,0.0,0.0,,0.5111028252159561
full_fixed_class,43,0.823576324357023,0.09815829992294312,0.8906789413118527,0.0,27,0.7630027074174375,,0.6129680275917053,0.5818601250648499,0.16875554621219635,0.22716714441776276,0.6610987782478333,0.7711843252182007,0.5355457663536072,0.6304051876068115,0.5532804131507874,0.15006785094738007,0.14948584139347076,0.09039264172315598,0.8683647513389587,0.43664637207984924,0.4241197407245636,0.8650131821632385,0.8345624804496765,0.6676788926124573,,0.0,0.0,0.0,,0.7723688602066998
