config,seed,final.H_alpha,final.S_tau,final.accuracy,final.alpha_tvar,final.degradation.bias,final.degradation.downsample,final.degradation.drift,final.degradation.dropout,final.degradation.gaussian_noise_snr10,final.degradation.gaussian_noise_snr20,final.degradation.stuck,final.epochs_run,final.macro_f1,final.per_class_alpha,final.per_class_alpha.0,final.per_class_alpha.1,final.per_class_alpha.2,final.per_class_alpha.3,final.perm_null,final.perm_null.null_mean,final.perm_null.null_std,final.perm_null.observed_var,final.perm_null.z,final.rho_last
wo_fusion,42,,0.2959831953048706,0.9985465797740166,,0.8166190007345242,0.9400034381983841,0.43944863800459466,0.3445074780814853,0.34374169753231126,0.4580149092784472,0.7183802959976245,30,0.9980730962228224,,,,,,,,,,,3.537570314190764
wo_fusion,43,,0.21179011464118958,0.998437182552706,,0.7986153437416975,0.92546923593855,0.4402613030771875,0.4534671105068217,0.41988216356447405,0.6892024942566459,0.7247097066591651,16,0.9987397760616039,,,,,,,,,,,3.851720472018562
wo_fusion,44,,0.3406006693840027,0.9981871317611389,,0.825511432009627,0.9283135636926251,0.5039773704033632,0.48394205072905433,0.3733883445074781,0.8375763827027365,0.6969853251441699,44,0.9985350965324395,,,,,,,,,,,3.198995441219819
wo_fusion,45,,0.3277159035205841,0.9988435150890025,,0.8287308359510526,0.9245002891212277,0.46290652788847736,0.23900167221466861,0.11667995061496866,0.6568834294466064,0.7707815650053917,61,0.9987939459392357,,,,,,,,,,,2.6695071048452905
wo_fusion,46,,0.2517882287502289,0.9993436166721366,,0.8380764842858706,0.8918374044727835,0.4266960476346758,0.35136824667510586,0.3875162142310157,0.6643380686701986,0.7261631268851485,21,0.9994402763669025,,,,,,,,,,,4.016540423865425
wo_fusion,47,,0.31454941630363464,0.9983902980292872,,0.8155562848703642,0.9306109053401472,0.5979339553346773,0.5225280135027427,0.3746542266397862,0.8448747401815994,0.7489177489177489,43,0.9982069280620244,,,,,,,,,,,3.168818845166506
wo_fusion,48,,0.32712599635124207,0.9980152218419367,,0.8293403347554972,0.9416443965180428,0.47750324284620316,0.43605732414396675,0.45898385609576947,0.8290433994405113,0.7705002578648789,44,0.9985040146973896,,,,,,,,,,,2.7521862535001094
wo_fusion,49,,0.3165651857852936,0.9991248222295154,,0.8280744526231891,0.9300482910591213,0.4542954037538875,0.40494162876834355,0.380421023020301,0.685279822463938,0.745776485848688,40,0.9992260431803484,,,,,,,,,,,3.266997613950114
wo_fusion,50,,0.3442462980747223,0.9988122587400565,,0.830184256177036,0.9440823917358213,0.505055714441996,0.30782815259349555,0.1883351305733977,0.6849360026255333,0.7825495803835154,72,0.9983085728949752,,,,,,,,,,,2.8785992354881946
wo_fusion,51,,0.2792637050151825,0.9990466813571507,,0.8208073514932721,0.9329551315110882,0.5045868692078078,0.20150968165408598,0.10164564677200057,0.6612593182990295,0.7409473799365496,26,0.999138585333796,,,,,,,,,,,4.218894738377429
