cell,config,seed,accuracy,macro_f1,rho_last,H_alpha,alpha_tvar,epochs_run,perm_null_z,deg_gaussian_noise_snr20,deg_gaussian_noise_snr10,deg_drift,deg_bias,deg_stuck,deg_dropout,deg_downsample
A,full,42,0.7813578826237054,0.6699521247591447,2.6973455894406997,0.49148627714238163,0.029765253886580467,13,68.2647344470328,0.6409666283084005,0.5512082853855006,0.6421173762945915,0.760644418872267,0.7767548906789413,0.6271576524741082,0.7790563866513234
A,full,43,0.7686996547756041,0.6546900411170092,1.8080951592403962,0.4142157201097398,0.031224824488162994,15,208.39249238837624,0.7525891829689298,0.6087456846950517,0.6363636363636364,0.7180667433831991,0.762945914844649,0.5983889528193326,0.7583429228998849
A,full,44,0.7825086306098964,0.6885523790460822,2.6354372801629915,0.6390790137284943,0.033000797033309937,22,58.00098123073052,0.6421173762945915,0.5454545454545454,0.6052934407364787,0.7686996547756041,0.7825086306098964,0.6052934407364787,0.7779056386651323
A,full,45,0.7836593785960875,0.6389487114185337,2.952387093100256,0.4068366009215878,0.023566599935293198,23,33.952877016398325,0.7318757192174914,0.4982738780207135,0.5857307249712314,0.7341772151898734,0.7790563866513234,0.6271576524741082,0.7790563866513234
A,full,46,0.7825086306098964,0.625009561033085,1.190087347124832,0.5703723973563185,0.036128513514995575,25,117.10764512554117,0.6363636363636364,0.5949367088607594,0.5443037974683544,0.7422324510932106,0.7779056386651323,0.6317606444188723,0.7767548906789413
A,full,47,0.759493670886076,0.6959947270203138,2.2561909011792207,0.5388231691446734,0.03273883834481239,25,147.842190875634,0.6386651323360184,0.5926352128883774,0.5960874568469505,0.7456846950517837,0.759493670886076,0.6513233601841196,0.760644418872267
A,full,48,0.7652474108170311,0.6155745759515819,1.9942071148479883,0.5634804652066209,0.02853364497423172,14,65.26584234291919,0.6306098964326813,0.6041426927502876,0.6248561565017261,0.7238204833141542,0.7583429228998849,0.6340621403912543,0.761795166858458
A,full,49,0.7767548906789413,0.6770531919348319,1.884617903830093,0.5313876431589647,0.034690458327531815,26,34.7285945739009,0.6248561565017261,0.619102416570771,0.6052934407364787,0.7548906789413119,0.7652474108170311,0.6271576524741082,0.7733026467203682
A,full,50,0.7721518987341772,0.6182529651877594,2.655701910269336,0.3076519899203981,0.011569706723093987,15,36.8089601134117,0.7456846950517837,0.6812428078250863,0.6133486766398158,0.7111622554660529,0.7721518987341772,0.7399309551208285,0.7744533947065593
A,full,51,0.761795166858458,0.5779745688864231,4.320802401997495,0.23184186117959665,0.00806739367544651,14,38.236044047066166,0.761795166858458,0.7560414269275029,0.6858457997698504,0.6996547756041427,0.761795166858458,0.6398158803222095,0.7640966628308401
A,full_r1,42,0.7951668584579977,0.642856250883662,0.6018989948088154,0.6487380468417691,0.020396079868078232,17,18.96336336553501,,,,,,,
A,full_r1,43,0.7779056386651323,0.6520749494625844,0.25652468185997546,0.536186381249051,0.025399260222911835,20,37.659416646380784,,,,,,,
A,full_r1,44,0.7813578826237054,0.669588309469431,0.5282893152102048,0.6925462435560688,0.024203015491366386,21,27.014822060319,,,,,,,
A,full_r1,45,0.7779056386651323,0.6921274526762436,0.8911457420473581,0.46997767445290883,0.012670787051320076,17,17.612107477576334,,,,,,,
A,full_r1,46,0.7940161104718066,0.68174232722441,0.3067040940704402,0.5974831482962613,0.015374045819044113,17,59.96699277985865,,,,,,,
A,full_r1,47,0.7882623705408516,0.7059165568700324,0.4978205292138704,0.7285970844932232,0.0167068038135767,16,38.107734262218926,,,,,,,
A,full_r1,48,0.7353279631760644,0.5777702523991911,0.5023286416884871,0.5748788300462209,0.02400985360145569,28,24.1828708120536,,,,,,,
A,full_r1,49,0.7813578826237054,0.6493332307578181,0.4675500403183599,0.6653832052246894,0.015394961461424828,18,52.4470999643522,,,,,,,
A,full_r1,50,0.7721518987341772,0.694193275628408,0.49040060072628916,0.37730184069803063,0.04420962929725647,26,187.23304444759782,,,,,,,
A,full_r1,51,0.761795166858458,0.6346280272832587,0.4833755416953616,0.4586349987995296,0.017974339425563812,21,78.5627523932382,,,,,,,
A,full_r2_gumbel,42,0.7756041426927502,0.7100916899319425,1.7546967815991819,0.3940394599444769,0.019443869590759277,32,88.7634574448333,,,,,,,
A,full_r2_gumbel,43,0.7733026467203682,0.7029814470351974,2.0304547215334607,0.39536729393128983,0.01796989142894745,32,8.254681838516087,,,,,,,
A,full_r2_gumbel,44,0.7836593785960875,0.6548539040889517,1.4122261605369504,0.3698051221637015,0.019227899610996246,51,22.455944599940985,,,,,,,
A,full_r2_gumbel,45,0.7790563866513234,0.6756353716179844,1.889476609124399,0.43634435115689696,0.016736172139644623,24,60.52330530870877,,,,,,,
A,full_r2_gumbel,46,0.7698504027617952,0.6628082023461428,2.13638925798604,0.44215696537363264,0.015515417791903019,21,51.06384355925162,,,,,,,
A,full_r2_gumbel,47,0.759493670886076,0.4728707944231236,2.297484934440421,0.5147656554055143,0.007880683988332748,11,46.41827450111279,,,,,,,
A,full_r2_gumbel,48,0.7790563866513234,0.6883541545343395,2.1180603096551263,0.4442068549169327,0.016794802621006966,35,38.49665808892755,,,,,,,
A,full_r2_gumbel,49,0.7733026467203682,0.6134230379205725,2.261820613888646,0.4768978629886848,0.010005445219576359,12,108.25066685501582,,,,,,,
A,full_r2_gumbel,50,0.7848101265822784,0.7094127879741592,1.7879332531241476,0.3913189924772206,0.013384739868342876,23,21.128400202920307,,,,,,,
A,full_r2_gumbel,51,0.7744533947065593,0.7046833887364694,2.0037320774828387,0.4610591697588247,0.01269774790853262,21,17.53390299195287,,,,,,,
A,tsnet_vanilla,42,0.7756041426927502,0.7001690987805175,,,,18,,0.7790563866513234,0.7710011507479861,0.761795166858458,0.7042577675489068,0.7721518987341772,0.759493670886076,0.766398158803222
A,tsnet_vanilla,43,0.7756041426927502,0.6040274127323632,,,,13,,0.7744533947065593,0.7468354430379747,0.7721518987341772,0.6858457997698504,0.7744533947065593,0.7180667433831991,0.7756041426927502
A,tsnet_vanilla,44,0.7917146144994246,0.6783306533690925,,,,21,,0.7905638665132336,0.7790563866513234,0.6260069044879172,0.7353279631760644,0.7882623705408516,0.7537399309551208,0.7917146144994246
A,tsnet_vanilla,45,0.7871116225546605,0.6786427656294308,,,,31,,0.7905638665132336,0.7997698504027618,0.6490218642117376,0.7318757192174914,0.7871116225546605,0.7054085155350979,0.7871116225546605
A,tsnet_vanilla,46,0.7871116225546605,0.7006380081755126,,,,26,,0.7951668584579977,0.7917146144994246,0.7802071346375143,0.7203682393555811,0.7894131185270425,0.667433831990794,0.7871116225546605
A,tsnet_vanilla,47,0.7997698504027618,0.683561663781822,,,,33,,0.7940161104718066,0.7790563866513234,0.6685845799769851,0.7238204833141542,0.7974683544303798,0.6950517836593786,0.7997698504027618
A,tsnet_vanilla,48,0.7733026467203682,0.6712614220320402,,,,15,,0.7698504027617952,0.7330264672036824,0.5995397008055235,0.6444188722669736,0.7721518987341772,0.7364787111622555,0.7733026467203682
A,tsnet_vanilla,49,0.7871116225546605,0.6821802623543471,,,,25,,0.7882623705408516,0.7894131185270425,0.7859608745684695,0.7203682393555811,0.7848101265822784,0.759493670886076,0.7871116225546605
A,tsnet_vanilla,50,0.7790563866513234,0.6822067884111603,,,,17,,0.7756041426927502,0.7756041426927502,0.7364787111622555,0.6962025316455697,0.7790563866513234,0.6547756041426928,0.7779056386651323
A,tsnet_vanilla,51,0.7882623705408516,0.6637864751234279,,,,13,,0.7871116225546605,0.7123130034522439,0.6444188722669736,0.7088607594936709,0.7882623705408516,0.6628308400460299,0.7871116225546605
A,wo_fusion,42,0.7779056386651323,0.6629064265278171,1.5178780946937318,,,13,,0.5765247410817032,0.7192174913693901,0.5650172612197929,0.7548906789413119,0.7698504027617952,0.5845799769850403,0.7686996547756041
A,wo_fusion,43,0.759493670886076,0.6799719624606688,1.6874699725994247,,,22,,0.5845799769850403,0.4810126582278481,0.6375143843498274,0.7330264672036824,0.7675489067894131,0.5592635212888377,0.759493670886076
A,wo_fusion,44,0.760644418872267,0.6789131715320349,1.7399723483884413,,,30,,0.5949367088607594,0.6144994246260069,0.5834292289988493,0.7399309551208285,0.760644418872267,0.5765247410817032,0.7560414269275029
A,wo_fusion,45,0.7744533947065593,0.5539272303807671,1.9210903412510028,,,30,,0.5454545454545454,0.6985040276179517,0.6835443037974683,0.7491369390103567,0.7675489067894131,0.5857307249712314,0.7756041426927502
A,wo_fusion,46,0.7894131185270425,0.6798849109786659,2.5200707539609075,,,24,,0.6398158803222095,0.6985040276179517,0.6018411967779056,0.7525891829689298,0.7859608745684695,0.6121979286536249,0.7928653624856157
A,wo_fusion,47,0.7675489067894131,0.6095545717397304,2.0232014579503224,,,17,,0.7456846950517837,0.7123130034522439,0.6432681242807825,0.7560414269275029,0.761795166858458,0.6444188722669736,0.7640966628308401
A,wo_fusion,48,0.7238204833141542,0.6623758213336731,1.4373310664421024,,,18,,0.61795166858458,0.7341772151898734,0.6881472957422324,0.716915995397008,0.713463751438435,0.622554660529344,0.714614499424626
A,wo_fusion,49,0.7905638665132336,0.5722073668678526,1.871903813204447,,,17,,0.7640966628308401,0.7203682393555811,0.7456846950517837,0.757192174913694,0.7859608745684695,0.7399309551208285,0.7917146144994246
A,wo_fusion,50,0.7767548906789413,0.6976928031951805,1.7703137417231765,,,17,,0.7710011507479861,0.7088607594936709,0.6110471806674338,0.7479861910241657,0.7779056386651323,0.7514384349827388,0.7802071346375143
A,wo_fusion,51,0.7767548906789413,0.6271999766652235,1.6549959587493366,,,24,,0.7410817031070196,0.7456846950517837,0.5960874568469505,0.7376294591484465,0.7813578826237054,0.7088607594936709,0.7710011507479861
A,wo_gating,42,0.761795166858458,0.6298471932151948,1.4607834396811388,0.48397387883850573,0.019336918368935585,14,151.74312828846485,0.7410817031070196,0.6029919447640967,0.6121979286536249,0.6708860759493671,0.762945914844649,0.6098964326812428,0.7583429228998849
A,wo_gating,43,0.7698504027617952,0.6999118338934232,3.617275464654386,0.3612368880948107,0.030895425006747246,16,38.566347653025254,0.7583429228998849,0.4062140391254315,0.6098964326812428,0.7019562715765247,0.7767548906789413,0.6294591484464902,0.7686996547756041
A,wo_gating,44,0.7779056386651323,0.6891027905633672,2.3605116308444933,0.4789753463126044,0.011828076094388962,13,119.82043697159936,0.7790563866513234,0.6881472957422324,0.7721518987341772,0.7399309551208285,0.7744533947065593,0.6720368239355581,0.7790563866513234
A,wo_gating,45,0.7733026467203682,0.6705054585589774,6.642510151614135,0.2244792878752673,0.011152724735438824,12,71.42700667538556,0.7698504027617952,0.6881472957422324,0.6421173762945915,0.7088607594936709,0.7698504027617952,0.6455696202531646,0.7744533947065593
A,wo_gating,46,0.7710011507479861,0.6848173794048693,2.228488277852862,0.4712895376970562,0.024298712611198425,50,9.300895199770721,0.620253164556962,0.4856156501726122,0.5960874568469505,0.7387802071346375,0.7675489067894131,0.6064441887226697,0.7813578826237054
A,wo_gating,47,0.761795166858458,0.6383194374038975,1.8690288699173325,0.6113006453260065,0.016143852844834328,15,67.29014243898472,0.6398158803222095,0.6018411967779056,0.6271576524741082,0.7410817031070196,0.7698504027617952,0.6363636363636364,0.760644418872267
A,wo_gating,48,0.7813578826237054,0.7068923020533544,2.623486029754602,0.6476096563519802,0.03937852755188942,26,222.30082580643784,0.6375143843498274,0.6133486766398158,0.6121979286536249,0.7330264672036824,0.7779056386651323,0.6340621403912543,0.7790563866513234
A,wo_gating,49,0.7836593785960875,0.633257751805091,3.9154159192721334,0.6776722354515121,0.031612735241651535,17,248.71847481034823,0.6467203682393556,0.17491369390103567,0.5581127733026467,0.7537399309551208,0.7825086306098964,0.6329113924050633,0.7848101265822784
A,wo_gating,50,0.7767548906789413,0.688033287861101,2.579201388056312,0.6663163182227548,0.011568360961973667,21,108.06273584732709,0.6432681242807825,0.6329113924050633,0.620253164556962,0.7330264672036824,0.7733026467203682,0.5857307249712314,0.7790563866513234
A,wo_gating,51,0.7721518987341772,0.6776196786592459,2.6909210592434283,0.6407509496522404,0.008536066859960556,14,76.66423223797058,0.6593785960874569,0.6075949367088608,0.5581127733026467,0.760644418872267,0.7548906789413119,0.6075949367088608,0.7640966628308401
A,wo_spectral,42,0.7836593785960875,0.6695772048235311,,,,31,,0.7848101265822784,0.7779056386651323,0.7675489067894131,0.7088607594936709,0.7836593785960875,0.6996547756041427,0.7836593785960875
A,wo_spectral,43,0.7894131185270425,0.7082502147634749,,,,25,,0.7871116225546605,0.7744533947065593,0.6386651323360184,0.7088607594936709,0.7813578826237054,0.7445339470655926,0.7871116225546605
A,wo_spectral,44,0.7882623705408516,0.6103927478006118,,,,13,,0.7848101265822784,0.7560414269275029,0.567318757192175,0.7008055235903338,0.7859608745684695,0.667433831990794,0.7882623705408516
A,wo_spectral,45,0.7928653624856157,0.6688118223445395,,,,17,,0.7928653624856157,0.7882623705408516,0.6352128883774454,0.7065592635212888,0.7905638665132336,0.7813578826237054,0.7928653624856157
A,wo_spectral,46,0.7779056386651323,0.688364645178591,,,,29,,0.7836593785960875,0.7894131185270425,0.759493670886076,0.7445339470655926,0.7802071346375143,0.7353279631760644,0.7756041426927502
A,wo_spectral,47,0.7813578826237054,0.6780127764642826,,,,16,,0.7744533947065593,0.7825086306098964,0.6513233601841196,0.7203682393555811,0.7779056386651323,0.6731875719217492,0.7825086306098964
A,wo_spectral,48,0.7917146144994246,0.678241663652295,,,,31,,0.7813578826237054,0.7399309551208285,0.7756041426927502,0.6777905638665133,0.7859608745684695,0.6524741081703107,0.7767548906789413
A,wo_spectral,49,0.7917146144994246,0.6811033665740209,,,,17,,0.7928653624856157,0.7928653624856157,0.7733026467203682,0.7456846950517837,0.7917146144994246,0.7238204833141542,0.7894131185270425
A,wo_spectral,50,0.7825086306098964,0.6665400584109155,,,,17,,0.7836593785960875,0.7767548906789413,0.6087456846950517,0.7019562715765247,0.7779056386651323,0.6490218642117376,0.7825086306098964
A,wo_spectral,51,0.7859608745684695,0.714386348880614,,,,23,,0.7882623705408516,0.7813578826237054,0.5949367088607594,0.6915995397008056,0.7882623705408516,0.7583429228998849,0.7882623705408516
A,wo_temporal,42,0.6409666283084005,0.5536944118172659,,,,23,,0.40276179516685845,0.32796317606444186,0.32105868814729577,0.6409666283084005,0.6248561565017261,0.4568469505178366,0.6398158803222095
A,wo_temporal,43,0.6478711162255466,0.5198474435079452,,,,30,,0.380897583429229,0.3383199079401611,0.2428078250863061,0.6478711162255466,0.6317606444188723,0.42117376294591485,0.6536248561565017
A,wo_temporal,44,0.6628308400460299,0.510202732018888,,,,33,,0.4039125431530495,0.4004602991944764,0.2957422324510932,0.6628308400460299,0.6490218642117376,0.44188722669735325,0.6593785960874569
A,wo_temporal,45,0.6352128883774454,0.5101061388974045,,,,51,,0.3878020713463751,0.285385500575374,0.23130034522439585,0.6352128883774454,0.6248561565017261,0.4016110471806674,0.6386651323360184
A,wo_temporal,46,0.6329113924050633,0.5114602539375734,,,,32,,0.41657077100115075,0.30264672036823936,0.20598388952819333,0.6329113924050633,0.6133486766398158,0.46375143843498273,0.6352128883774454
A,wo_temporal,47,0.6467203682393556,0.5331922426251894,,,,46,,0.39010356731875717,0.30724971231300346,0.26352128883774456,0.6467203682393556,0.6340621403912543,0.5120828538550057,0.6524741081703107
A,wo_temporal,48,0.6421173762945915,0.5277901804605097,,,,45,,0.49252013808975836,0.4142692750287687,0.34982738780207134,0.6421173762945915,0.6421173762945915,0.45454545454545453,0.6432681242807825
A,wo_temporal,49,0.6352128883774454,0.5238547323191134,,,,45,,0.37284234752589185,0.2945914844649022,0.27848101265822783,0.6352128883774454,0.6237054085155351,0.38204833141542005,0.620253164556962
A,wo_temporal,50,0.6398158803222095,0.5181981841822844,,,,20,,0.4936708860759494,0.38434982738780205,0.35097813578826237,0.6398158803222095,0.6317606444188723,0.4579976985040276,0.6363636363636364
A,wo_temporal,51,0.6294591484464902,0.5060399938242436,,,,20,,0.46029919447640966,0.33141542002301494,0.3705408515535098,0.6294591484464902,0.6110471806674338,0.47756041426927504,0.6375143843498274
B,full,42,0.9911816578483245,0.9910302154377835,0.933110933529584,0.31242891380312227,0.093202605843544,14,138.3150086658429,0.9876543209876543,0.900352733686067,0.917989417989418,0.9708994708994709,0.9426807760141094,0.9814814814814815,0.9453262786596119
B,full,43,0.9947089947089947,0.9947019850706158,1.8630012496756347,0.4192857233371794,0.08286677300930023,14,170.89559533208651,0.9920634920634921,0.9312169312169312,0.8659611992945326,0.9664902998236331,0.9567901234567902,0.9894179894179894,0.935626102292769
B,full,44,0.9911816578483245,0.991116691936988,0.644585872464356,0.29946792203660616,0.07545412331819534,25,118.83775507322197,0.9911816578483245,0.9805996472663139,0.91005291005291,0.9682539682539683,0.9462081128747796,0.9911816578483245,0.9497354497354498
B,full,45,0.9929453262786596,0.992938209331652,2.163785530577517,0.3138389359325855,0.09660593420267105,32,133.15350036371177,0.9911816578483245,0.9559082892416225,0.8783068783068783,0.9700176366843033,0.9497354497354498,0.9929453262786596,0.9435626102292769
B,full,46,0.9885361552028219,0.9885146129473981,0.41865550562554593,0.36991724323196534,0.08959336578845978,16,154.32520174594623,0.9894179894179894,0.9585537918871252,0.9603174603174603,0.9594356261022927,0.9462081128747796,0.9479717813051146,0.927689594356261
B,full,47,0.9832451499118166,0.9830325514826899,0.9425293257692743,0.31550125184622135,0.12328168749809265,14,277.2552199232778,0.9814814814814815,0.8562610229276896,0.8509700176366843,0.9479717813051146,0.9417989417989417,0.9797178130511464,0.9312169312169312
B,full,48,0.9938271604938271,0.9937844943571501,0.44704745692779474,0.26343311139265563,0.12894195318222046,16,277.3570806818914,0.9920634920634921,0.95326278659612,0.8051146384479718,0.9647266313932981,0.9523809523809523,0.9902998236331569,0.9409171075837742
B,full,49,0.9920634920634921,0.992011519856903,1.3078027055453871,0.3134347068594184,0.09499205648899078,44,129.14693296426938,0.9929453262786596,0.9285714285714286,0.9303350970017636,0.9797178130511464,0.9541446208112875,0.9929453262786596,0.9347442680776014
B,full,50,0.9929453262786596,0.99290112980034,0.6397489121071114,0.42654178892307015,0.07798638939857483,23,150.2928744542376,0.9929453262786596,0.937389770723104,0.8395061728395061,0.9647266313932981,0.9514991181657848,0.9902998236331569,0.935626102292769
B,full,51,0.9955908289241623,0.9955766640281075,0.6883550242442313,0.35443022910926625,0.08478277921676636,20,110.64476904361224,0.9947089947089947,0.8888888888888888,0.9047619047619048,0.9656084656084656,0.9506172839506173,0.9902998236331569,0.935626102292769
B,wo_fusion,42,0.9911816578483245,0.9911797688595377,0.9467110861116166,,,17,,0.9929453262786596,0.8615520282186949,0.9417989417989417,0.9488536155202821,0.9506172839506173,0.9797178130511464,0.6313932980599647
