config,seed,final.H_alpha,final.S_tau,final.accuracy,final.alpha_tvar,final.degradation.bias,final.degradation.downsample,final.degradation.drift,final.degradation.dropout,final.degradation.gaussian_noise_snr10,final.degradation.gaussian_noise_snr20,final.degradation.stuck,final.epochs_run,final.macro_f1,final.per_class_alpha,final.per_class_alpha.0,final.per_class_alpha.1,final.per_class_alpha.10,final.per_class_alpha.11,final.per_class_alpha.12,final.per_class_alpha.13,final.per_class_alpha.14,final.per_class_alpha.15,final.per_class_alpha.16,final.per_class_alpha.17,final.per_class_alpha.2,final.per_class_alpha.3,final.per_class_alpha.4,final.per_class_alpha.5,final.per_class_alpha.6,final.per_class_alpha.7,final.per_class_alpha.8,final.per_class_alpha.9,final.perm_null,final.perm_null.null_mean,final.perm_null.null_std,final.perm_null.observed_var,final.perm_null.z,final.rho_last
full,42,0.49148627714238163,0.06706351786851883,0.7813578826237054,0.029765253886580467,0.760644418872267,0.7790563866513234,0.6421173762945915,0.6271576524741082,0.5512082853855006,0.6409666283084005,0.7767548906789413,13,0.6699521247591447,,0.8875069618225098,0.6841738820075989,0.4581233561038971,0.06641373783349991,0.8153122067451477,0.8478262424468994,0.7920665740966797,0.4065837860107422,0.6056784391403198,0.9945986270904541,0.8041274547576904,1.779764269987938e-12,0.9415737390518188,0.2435303032398224,0.2412261962890625,0.9671878218650818,0.8729626536369324,0.45195087790489197,,0.0083266643807292,0.0002968466287151782,0.028590820729732513,68.2647344470328,2.6973455894406997
full,43,0.4142157201097398,0.04743435978889465,0.7686996547756041,0.031224824488162994,0.7180667433831991,0.7583429228998849,0.6363636363636364,0.5983889528193326,0.6087456846950517,0.7525891829689298,0.762945914844649,15,0.6546900411170092,,0.819047749042511,0.8794683814048767,0.535874605178833,0.14722910523414612,0.8718047142028809,0.8392530083656311,0.40826791524887085,0.8443532586097717,0.8566746711730957,0.6696513891220093,0.05452762544155121,1.8156696035987602e-13,0.9291452765464783,0.24496962130069733,0.33771249651908875,0.9619626402854919,0.9159813523292542,0.8471691608428955,,0.0052932258695364,0.0001197406485577501,0.030246278271079063,208.39249238837624,1.8080951592403962
full,44,0.6390790137284943,0.06275242567062378,0.7825086306098964,0.033000797033309937,0.7686996547756041,0.7779056386651323,0.6052934407364787,0.6052934407364787,0.5454545454545454,0.6421173762945915,0.7825086306098964,22,0.6885523790460822,,0.4592071771621704,0.36420631408691406,0.44301334023475647,0.3186964988708496,0.6009106636047363,0.7569383382797241,0.7831578850746155,0.3713335692882538,0.3862435519695282,0.9983350038528442,0.5201941728591919,3.5037424073181e-09,0.9149205088615417,0.7120952606201172,0.7400399446487427,0.985713541507721,0.7799904346466064,0.37635570764541626,,0.01021859273314476,0.00039234481507441463,0.0329749770462513,58.00098123073052,2.6354372801629915
full,45,0.4068366009215878,0.07687156647443771,0.7836593785960875,0.023566599935293198,0.7341772151898734,0.7790563866513234,0.5857307249712314,0.6271576524741082,0.4982738780207135,0.7318757192174914,0.7790563866513234,23,0.6389487114185337,,0.8284784555435181,0.9618233442306519,0.38029345870018005,0.19662225246429443,0.7568604350090027,0.5986301302909851,0.3782899081707001,0.9172735810279846,0.9556292295455933,0.920594334602356,0.09937337040901184,1.963213208000525e-06,0.9586373567581177,0.16067583858966827,0.23752091825008392,0.9965636134147644,0.9052449464797974,0.92662113904953,,0.005484668537974358,0.0005497114573711537,0.024148954078555107,33.952877016398325,2.952387093100256
full,46,0.5703723973563185,0.06181589886546135,0.7825086306098964,0.036128513514995575,0.7422324510932106,0.7767548906789413,0.5443037974683544,0.6317606444188723,0.5949367088607594,0.6363636363636364,0.7779056386651323,25,0.625009561033085,,0.858745813369751,0.5745584964752197,0.5798899531364441,0.04164848476648331,0.8500071167945862,0.7878946661949158,0.5785903930664062,0.48188668489456177,0.5642275810241699,0.7592480778694153,0.18896624445915222,6.166733925805704e-14,0.8972060680389404,0.5044136047363281,0.5749858617782593,0.9708247184753418,0.841496467590332,0.5006117820739746,,0.007675574393942952,0.0002434565341004214,0.03618619590997696,117.10764512554117,1.190087347124832
full,47,0.5388231691446734,0.0645180195569992,0.759493670886076,0.03273883834481239,0.7456846950517837,0.760644418872267,0.5960874568469505,0.6513233601841196,0.5926352128883774,0.6386651323360184,0.759493670886076,25,0.6959947270203138,,0.9264196157455444,0.09955491125583649,0.44791004061698914,0.4319573640823364,0.7907853722572327,0.7576627135276794,0.7582818865776062,0.25138652324676514,0.18546684086322784,0.9835934042930603,0.815122127532959,7.951510005987927e-10,0.8722686767578125,0.7121641635894775,0.7363898754119873,0.9966257214546204,0.8591074347496033,0.2614939212799072,,0.010288155917078257,0.00015294600094797956,0.03290002793073654,147.842190875634,2.2561909011792207
full,48,0.5634804652066209,0.056563083082437515,0.7652474108170311,0.02853364497423172,0.7238204833141542,0.761795166858458,0.6248561565017261,0.6340621403912543,0.6041426927502876,0.6306098964326813,0.7583429228998849,14,0.6155745759515819,,0.8724738955497742,0.5583766102790833,0.45864540338516235,0.37347373366355896,0.8624705672264099,0.851726233959198,0.6331104040145874,0.6398454308509827,0.6598276495933533,0.7522330284118652,0.3244691491127014,6.822173136006861e-19,0.9530607461929321,0.6428601145744324,0.6783794164657593,0.9947747588157654,0.8535192012786865,0.6680582761764526,,0.007652223133482039,0.0003130922660908984,0.028086453676223755,65.26584234291919,1.9942071148479883
full,49,0.5313876431589647,0.08046147227287292,0.7767548906789413,0.034690458327531815,0.7548906789413119,0.7733026467203682,0.6052934407364787,0.6271576524741082,0.619102416570771,0.6248561565017261,0.7652474108170311,26,0.6770531919348319,,0.9741314649581909,0.21198686957359314,0.5015261173248291,0.6308167576789856,0.8105213642120361,0.843142032623291,0.8731606006622314,0.32489725947380066,0.2673715353012085,0.9996682405471802,0.8597263097763062,0.02407965250313282,0.9372653961181641,0.6231057643890381,0.6732006669044495,0.9999567270278931,0.8876319527626038,0.31804490089416504,,0.010216244868934155,0.0006830878444895646,0.033938925713300705,34.7285945739009,1.884617903830093
full,50,0.3076519899203981,0.07176990061998367,0.7721518987341772,0.011569706723093987,0.7111622554660529,0.7744533947065593,0.6133486766398158,0.7399309551208285,0.6812428078250863,0.7456846950517837,0.7721518987341772,15,0.6182529651877594,,0.8889732360839844,0.9756966233253479,0.351075679063797,0.08808712661266327,0.8058347105979919,0.8921942114830017,0.35112690925598145,0.9345242977142334,0.9633564949035645,0.6297793388366699,0.1539934277534485,1.0998767230319118e-08,0.946319580078125,0.013077964074909687,0.036262884736061096,0.8222440481185913,0.8563523888587952,0.9408157467842102,,0.0023098538047634067,0.00023405850848553058,0.010925304144620895,36.8089601134117,2.655701910269336
full,51,0.23184186117959665,0.04995695874094963,0.761795166858458,0.00806739367544651,0.6996547756041427,0.7640966628308401,0.6858457997698504,0.6398158803222095,0.7560414269275029,0.761795166858458,0.761795166858458,14,0.5779745688864231,,0.9642382860183716,0.9891480207443237,0.7324541807174683,0.37613967061042786,0.9232547283172607,0.5844361186027527,0.8585447669029236,0.983651876449585,0.9864598512649536,0.0009151847334578633,0.882684051990509,1.786736802955602e-08,0.9738484025001526,0.0013977042399346828,0.005303123965859413,0.7564550638198853,0.9734302163124084,0.9836955070495605,,0.002366083755623549,0.00014919017020650828,0.008070525713264942,38.236044047066166,4.320802401997495
